Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
28,571,8,220,0.000464402,0.060912204,76.6,0.078316828,70.6,38,44,18,15,0.679594829,0.707797984,0.690458498,0.737764376,0.707542213,0.719546694,0.707670098,0.412819016,0.707670098,0.416327627
17,5723,48,35,0.001105953,0.009898294,77.2,0.015094487,70.2,39,43,19,14,0.670201457,0.721289035,0.691197684,0.745936968,0.694329034,0.715502567,0.707809035,0.410537076,0.707809035,0.415877077
40,1536,32,150,0.008909538,0.014382829,79.4,0.02389268,70.2,36,45,16,17,0.685261183,0.679072808,0.680200441,0.727683572,0.732577746,0.728815482,0.705825277,0.410355749,0.705825277,0.412259619
61,7035,32,20,0.002126359,0.015505397,76.4,0.021657539,70,39,42,20,14,0.669545518,0.730177924,0.69376511,0.748603482,0.685675188,0.710264635,0.707926556,0.410240231,0.707926556,0.416984414
22,2463,256,45,0.041516264,0.001714097,81.4,0.00562374,70,35,47,15,18,0.70135173,0.653382692,0.673764515,0.714442783,0.75713088,0.733256565,0.705256786,0.409374532,0.705256786,0.413106703
18,3377,64,95,0.001699762,0.008027021,76.2,0.010760281,69.8,38,43,18,15,0.676683513,0.704429677,0.687170038,0.733491911,0.70612045,0.716672667,0.705275064,0.406564047,0.705275064,0.410359744
5,7474,56,145,0.004279219,0.008104141,80,0.01292867,69.6,37,44,18,16,0.685438247,0.698116662,0.684822302,0.731264667,0.711166082,0.715060079,0.704641372,0.405422546,0.704641372,0.412927384
78,7861,40,30,0.001973927,0.012599726,76,0.016578649,69.6,37,44,18,16,0.679926323,0.696096719,0.681858362,0.73246692,0.713425845,0.717132058,0.704761282,0.404299164,0.704761282,0.410943753
3,1824,128,205,0.006847631,0.003683345,79.2,0.005663198,69.6,35,46,16,18,0.695763258,0.656670208,0.669146634,0.716981927,0.748910541,0.728156185,0.702790375,0.402399987,0.702790375,0.409044734
74,8486,64,205,0.001541917,0.007931184,76,0.010899395,69.6,37,43,18,16,0.679015402,0.695306918,0.681280376,0.729480252,0.709736465,0.714604561,0.702521691,0.400336593,0.702521691,0.406738207
14,6831,56,100,0.002852449,0.009529676,75.4,0.012532376,69.4,38,43,19,15,0.673862056,0.702492625,0.682684145,0.733290701,0.702875639,0.713490437,0.702684132,0.40029945,0.702684132,0.406231076
73,9771,24,140,0.000520815,0.021847933,74.2,0.025324067,69.8,35,46,16,18,0.688928289,0.66596479,0.674150351,0.715641396,0.733665388,0.722127901,0.699815089,0.398958277,0.699815089,0.402071773
70,2396,256,145,0.002865778,0.0019522,78.8,0.005066649,69.4,36,44,17,17,0.682664996,0.678222292,0.673642122,0.725169931,0.723115235,0.718884049,0.700668763,0.397566867,0.700668763,0.404518241
46,157,40,85,0.029276813,0.012479717,79.2,0.023230772,69.6,35,46,16,18,0.687911255,0.657127293,0.665018391,0.720893954,0.740290626,0.725960544,0.698708959,0.396722689,0.698708959,0.402890896
55,1596,256,110,0.024432421,0.001679478,82.2,0.005407741,69.4,34,46,16,19,0.691784156,0.646761517,0.665434642,0.71072409,0.751165441,0.728017556,0.698963479,0.396543896,0.698963479,0.400188772
76,4776,56,130,0.011160099,0.009300992,77.4,0.01321206,69.4,36,45,17,17,0.67507382,0.679006332,0.674628384,0.722692407,0.72078633,0.719821523,0.699896331,0.396332443,0.699896331,0.398765411
16,4175,48,130,0.001678964,0.010814585,75.2,0.015110108,69.2,36,44,18,17,0.682878102,0.676654584,0.671774282,0.724896981,0.724407902,0.71789219,0.700531243,0.395882556,0.700531243,0.404362376
6,7438,40,140,0.000396931,0.014393532,69.4,0.016141041,69.2,37,43,19,16,0.674499009,0.696815053,0.678809229,0.728443831,0.704210037,0.710436417,0.700512545,0.395297459,0.700512545,0.401960109
58,5436,40,60,0.000377311,0.011106081,79.6,0.016871586,69.2,36,44,18,17,0.682192498,0.676006016,0.671093039,0.724749847,0.723284727,0.717152863,0.699645371,0.394580848,0.699645371,0.403054458
36,4413,128,240,0.000572023,0.003794992,79.2,0.00562624,69.4,36,44,18,17,0.676314112,0.679492496,0.673065105,0.724595284,0.7189239,0.717525679,0.699208198,0.394120706,0.699208198,0.399648488
1,7840,128,215,0.019870359,0.003772792,80.2,0.005758293,69.6,35,46,16,18,0.683545586,0.647033954,0.662358903,0.714806413,0.747705506,0.729142128,0.69736973,0.394015193,0.69736973,0.396511356
80,3142,256,210,0.003659962,0.002111407,74.2,0.005192283,69.2,37,43,19,16,0.668279243,0.69815446,0.679829833,0.72915565,0.699938231,0.711487653,0.699046345,0.393653322,0.699046345,0.397759179
52,7502,24,135,0.003216043,0.021082275,76.2,0.028759851,69.4,36,45,17,17,0.691498686,0.665458129,0.665144548,0.724620893,0.729205228,0.71953013,0.697331679,0.393521964,0.697331679,0.404697031
50,73,32,50,0.001505766,0.016187419,76,0.021005728,69,38,42,20,15,0.667051576,0.70805739,0.682010541,0.733274854,0.690698004,0.706204389,0.699377697,0.393154723,0.699377697,0.399534555
39,89,256,150,0.003456339,0.001937807,79,0.005047498,69.2,35,45,16,18,0.684948193,0.657556658,0.666071966,0.714079254,0.737717261,0.721955948,0.69763696,0.392008063,0.69763696,0.397107091
68,2475,256,100,0.000827822,0.001882027,79.4,0.005266752,69.4,35,45,17,18,0.686808503,0.657937169,0.667597956,0.712369698,0.735028854,0.720526156,0.696483011,0.391156014,0.696483011,0.395990233
60,3874,8,20,0.00504453,0.071588317,77.2,0.10744303,69.2,37,44,18,16,0.68696748,0.675312348,0.667106809,0.730506943,0.717506733,0.712217501,0.69640954,0.39107364,0.69640954,0.404786717
56,2135,64,170,0.001285448,0.007781782,77.2,0.011364302,69.2,37,44,18,16,0.671881926,0.6846078,0.672709351,0.725517945,0.710622395,0.712822739,0.697615098,0.390122234,0.697615098,0.39630756
79,7782,128,95,0.000377603,0.003815187,79.4,0.005642076,68.8,37,43,18,16,0.671380391,0.683817999,0.672617077,0.723166249,0.707788969,0.710694697,0.695803484,0.387591225,0.695803484,0.393071222
4,5027,16,10,0.054392005,0.110663137,74,0.131358321,68.8,38,41,20,15,0.67234127,0.712336187,0.680831919,0.735722912,0.678841772,0.694206156,0.69558898,0.38698407,0.69558898,0.39944745
49,8183,56,250,0.000883666,0.008669025,77.8,0.012346181,68.8,36,44,18,17,0.676993862,0.665528875,0.663900117,0.719504707,0.72350701,0.714943858,0.694517943,0.384570753,0.694517943,0.39272797
27,5684,256,35,0.000320674,0.002239613,73.8,0.005429333,69.2,34,47,15,19,0.686640114,0.630477716,0.656229999,0.703063128,0.751582331,0.725786176,0.691030023,0.383765864,0.691030023,0.385835443
2,3042,24,10,0.028995092,0.035553293,76.4,0.049502562,69,36,44,18,17,0.674008286,0.668556332,0.661868563,0.724940041,0.718176844,0.713751894,0.693366588,0.383551676,0.693366588,0.392746102
54,6454,48,125,0.01030904,0.009604929,80,0.016868456,68.4,36,43,19,17,0.673068402,0.684163188,0.66999072,0.722546808,0.704824791,0.705549588,0.694493989,0.382922403,0.694493989,0.392271058
10,2907,56,160,0.063859888,0.011592753,80.4,0.019108945,69.2,33,47,14,20,0.684849466,0.622214592,0.643906693,0.713385732,0.757731581,0.72968915,0.689973087,0.381932085,0.689973087,0.388814789
32,6160,128,225,0.000628186,0.003834731,78,0.005596795,68.4,36,43,18,17,0.669023308,0.676654584,0.666907766,0.720755505,0.709468549,0.709444808,0.693061566,0.381621951,0.693061566,0.387940063
33,3451,8,225,0.008799771,0.070319535,80,0.10999147,68.8,36,44,18,17,0.675715017,0.666849071,0.661454251,0.721704261,0.717581647,0.712719528,0.692215359,0.381453614,0.692215359,0.390737247
51,8603,256,165,0.000457432,0.002067979,76.2,0.005221782,69,35,45,17,18,0.670251129,0.657297204,0.660732445,0.714120124,0.726078718,0.717709469,0.691687961,0.380762337,0.691687961,0.383854544
69,1475,256,30,0.001257805,0.00261348,72.2,0.005049519,69.8,30,51,11,23,0.721596308,0.56936222,0.611692432,0.698632159,0.805954218,0.744316225,0.687658219,0.378755649,0.687658219,0.392830522
31,9431,256,225,0.000675793,0.002240592,73.8,0.005067891,69.2,32,49,13,21,0.699968822,0.595569027,0.64181913,0.692530678,0.777361019,0.732012997,0.686465023,0.377802642,0.686465023,0.382430349
41,1707,8,235,0.003930056,0.066478403,77.2,0.096339572,68,40,39,23,13,0.65736591,0.737722972,0.681901969,0.750921224,0.644439214,0.675330816,0.691081093,0.376576187,0.691081093,0.394782992
