model_3_1,train_losses,test_losses,train_accuracies,test_accuracies
1,0.503765399804276,0.8931003347800596,tensor([74.8315], device='cuda:2'),tensor([62.7737], device='cuda:2')
2,0.40759717765149106,0.8343159873990247,tensor([83.5955], device='cuda:2'),tensor([63.5037], device='cuda:2')
3,0.4077836468648375,0.6763978831089326,tensor([83.8202], device='cuda:2'),tensor([62.0438], device='cuda:2')
4,0.40525438892707394,0.7189574163325512,tensor([81.7978], device='cuda:2'),tensor([61.3139], device='cuda:2')
5,0.38518915564826367,0.6990310049405063,tensor([82.6966], device='cuda:2'),tensor([65.6934], device='cuda:2')
6,0.37082863229044366,0.7368902981716351,tensor([84.9438], device='cuda:2'),tensor([58.3942], device='cuda:2')
7,0.3787667146559512,0.6845469894635416,tensor([82.6966], device='cuda:2'),tensor([62.0438], device='cuda:2')
8,0.3667412651388833,0.7031868465625457,tensor([85.1685], device='cuda:2'),tensor([64.2336], device='cuda:2')
9,0.3801660144596957,0.7156371335043524,tensor([83.3708], device='cuda:2'),tensor([61.3139], device='cuda:2')
10,0.35474623662702154,0.6879813549292348,tensor([84.7191], device='cuda:2'),tensor([64.9635], device='cuda:2')
11,0.37469510382480836,0.6763096386498778,tensor([84.2697], device='cuda:2'),tensor([62.0438], device='cuda:2')
12,0.3785490084899945,0.6894441967027901,tensor([82.6966], device='cuda:2'),tensor([59.1241], device='cuda:2')
13,0.37160093469566174,0.6905720729897492,tensor([82.6966], device='cuda:2'),tensor([60.5839], device='cuda:2')
14,0.3755195353808028,0.70909677152216,tensor([84.4944], device='cuda:2'),tensor([60.5839], device='cuda:2')
15,0.39107089176606596,0.6848023842721089,tensor([83.3708], device='cuda:2'),tensor([59.1241], device='cuda:2')
16,0.3690351598048478,0.668930154429735,tensor([84.9438], device='cuda:2'),tensor([62.7737], device='cuda:2')
17,0.38166368998838274,0.6979032398140343,tensor([84.0449], device='cuda:2'),tensor([60.5839], device='cuda:2')
18,0.3736030808325564,0.7086338483504135,tensor([82.9213], device='cuda:2'),tensor([60.5839], device='cuda:2')
19,0.365972220294931,0.680145072240899,tensor([84.4944], device='cuda:2'),tensor([66.4234], device='cuda:2')
20,0.36240248365348643,0.6873089301325109,tensor([83.8202], device='cuda:2'),tensor([67.1533], device='cuda:2')
21,0.385718041725373,0.6767302146793281,tensor([83.8202], device='cuda:2'),tensor([67.8832], device='cuda:2')
22,0.3634531927912423,0.7086764286904439,tensor([84.9438], device='cuda:2'),tensor([63.5037], device='cuda:2')
23,0.36970163724395666,0.7174670979054305,tensor([83.5955], device='cuda:2'),tensor([62.7737], device='cuda:2')
24,0.36587466865443113,0.6908368814165575,tensor([84.9438], device='cuda:2'),tensor([64.9635], device='cuda:2')
25,0.3712242510211602,0.6661171673858253,tensor([82.9213], device='cuda:2'),tensor([63.5037], device='cuda:2')
26,0.38495138796527734,0.6779288516862549,tensor([84.2697], device='cuda:2'),tensor([67.1533], device='cuda:2')
27,0.36188122837731007,0.7185546146692151,tensor([84.7191], device='cuda:2'),tensor([61.3139], device='cuda:2')
28,0.3673928237363194,0.7046397167400722,tensor([84.4944], device='cuda:2'),tensor([64.2336], device='cuda:2')
29,0.37048981504493883,0.7043547410599507,tensor([84.7191], device='cuda:2'),tensor([65.6934], device='cuda:2')
30,0.37737308626764277,0.680518215807685,tensor([85.1685], device='cuda:2'),tensor([63.5037], device='cuda:2')
31,0.38471155307266147,0.7072777848174102,tensor([84.2697], device='cuda:2'),tensor([59.8540], device='cuda:2')
32,0.35923456395609993,0.6983839397447823,tensor([84.0449], device='cuda:2'),tensor([61.3139], device='cuda:2')
33,0.38534820495026834,0.692807544974515,tensor([84.2697], device='cuda:2'),tensor([62.7737], device='cuda:2')
34,0.3977665506052167,0.6436577669895478,tensor([82.9213], device='cuda:2'),tensor([67.1533], device='cuda:2')
35,0.3563399660453368,0.6954897861846172,tensor([84.2697], device='cuda:2'),tensor([62.7737], device='cuda:2')
36,0.3656872828354996,0.7231420887647754,tensor([85.1685], device='cuda:2'),tensor([63.5037], device='cuda:2')
37,0.37710958337515926,0.6891805660115541,tensor([84.2697], device='cuda:2'),tensor([62.0438], device='cuda:2')
