Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
38,2250,2,95,8,190,0.006953601,0.082369769,60.8,0.084199225,63.4,26,47,15,27,0.637433335,0.479720076,0.508981312,0.644231451,0.772187627,0.692009327,0.625953852,0.249712463,0.625953852,0.263416885
146,3302,2,180,256,195,0.001041008,0.002742543,62,0.005722006,61.8,24,48,14,29,0.632151821,0.454028981,0.524327442,0.619775468,0.76968923,0.684700429,0.611859105,0.226691664,0.611859105,0.237215205
100,6427,2,35,64,170,0.006380758,0.010867079,61.6,0.012287322,61.8,25,47,15,28,0.608754889,0.457966928,0.493285719,0.631413998,0.762377637,0.683250447,0.610172282,0.22012761,0.610172282,0.227898097
121,8769,2,155,256,195,0.001082726,0.002754089,61.4,0.005704213,61.6,21,51,11,32,0.668392894,0.381834836,0.445992811,0.616280149,0.829653109,0.700578358,0.605743973,0.212453331,0.605743973,0.236068868
49,9713,1,25,8,175,0.000633972,0.084059612,58.2,0.0854151,61.2,20,51,11,33,0.64090121,0.392949263,0.479563405,0.609594203,0.813248552,0.693975535,0.603098907,0.211878391,0.603098907,0.226696681
111,4643,4,25,32,150,0.004710591,0.02085071,61.8,0.023512177,61.4,26,45,16,27,0.598714826,0.477174839,0.529025145,0.6227694,0.73230983,0.672389184,0.604742334,0.211296018,0.604742334,0.215334503
30,4872,3,25,56,130,0.005906645,0.011964031,62.6,0.0141318,61,26,45,17,27,0.598527591,0.488390294,0.535656735,0.622367596,0.719500823,0.666680526,0.603945558,0.210718762,0.603945558,0.214211789
127,2135,3,20,64,185,0.005449875,0.01119901,60.6,0.01241226,60.6,26,44,18,27,0.604815075,0.508826586,0.529175207,0.629631785,0.696692671,0.650511386,0.602759628,0.205082769,0.602759628,0.218160927
147,3809,2,165,256,195,0.001151823,0.002800663,61.6,0.005676313,60.6,22,49,13,31,0.632421199,0.405588975,0.483211841,0.609334387,0.794611324,0.685418242,0.600100149,0.201610144,0.600100149,0.21935034
50,8922,3,10,8,125,0.002301558,0.082874206,61.8,0.085446511,60.8,21,50,12,32,0.6198269,0.398438705,0.482318718,0.608608134,0.797769412,0.689602486,0.598104059,0.199456933,0.598104059,0.211490884
44,861,2,145,256,185,0.002365833,0.002827132,60,0.005713916,60.6,22,49,13,31,0.621804813,0.404832959,0.480838161,0.608995236,0.792019097,0.68555104,0.598426028,0.198527445,0.598426028,0.212504545
15,8925,4,45,32,170,0.004941933,0.020998639,61.6,0.023481624,60.2,25,45,16,28,0.603305916,0.46088202,0.520672352,0.611692407,0.735748499,0.666866911,0.598315259,0.19783981,0.598315259,0.205550469
115,7263,1,200,256,160,0.002444341,0.002863724,59.2,0.005739999,61,21,50,12,32,0.65219697,0.381269018,0.445846098,0.609909888,0.814969917,0.692870532,0.598119467,0.197471583,0.598119467,0.217721742
97,1395,2,170,32,115,0.001639023,0.021984388,57.6,0.024011562,60.4,23,48,14,30,0.605059781,0.419512602,0.483253761,0.612263841,0.773589833,0.680278608,0.596551217,0.194681343,0.596551217,0.203915157
12,6069,1,145,128,80,0.002512766,0.005819555,58.6,0.006691381,60.6,22,48,14,31,0.69406876,0.410546112,0.472659908,0.607016541,0.77840212,0.677711016,0.594474116,0.192980722,0.594474116,0.225139141
148,8177,2,165,256,195,0.001176842,0.002781874,61.2,0.005679683,60.4,21,49,13,32,0.641323135,0.389974238,0.462828981,0.606166576,0.799823241,0.685364304,0.59489874,0.191996922,0.59489874,0.213101404
142,35,2,115,56,130,0.002238601,0.01285959,59.2,0.014512316,60.4,23,48,14,30,0.625773928,0.416498644,0.477185297,0.609324077,0.772447742,0.677231906,0.594473193,0.190982062,0.594473193,0.206882208
106,7835,2,95,24,200,0.007234349,0.028132567,60.2,0.029339536,60.4,26,45,17,27,0.56982878,0.468463321,0.479901226,0.632845222,0.721822568,0.658408824,0.595142945,0.189997724,0.595142945,0.197029444
66,8825,2,165,256,60,0.001768181,0.002895234,58.2,0.005748806,60.6,22,49,13,31,0.706984969,0.39227063,0.446608857,0.609144779,0.796099985,0.683590629,0.594185308,0.189728564,0.594185308,0.220910262
99,1481,2,35,256,165,0.004129227,0.002779805,61.6,0.005686717,59.6,24,45,16,29,0.594769201,0.450775345,0.50819279,0.609478409,0.736727349,0.664756339,0.593751347,0.188288351,0.593751347,0.195554224
40,5440,2,190,48,135,0.000457551,0.01440253,59.2,0.017156013,59.8,22,47,14,31,0.60155126,0.418669968,0.484885156,0.609247485,0.769379582,0.675935716,0.594024775,0.188100138,0.594024775,0.198766618
138,1664,2,195,256,155,0.004703884,0.002721479,61.6,0.005706313,60.4,21,49,13,32,0.622094572,0.39323375,0.469892079,0.603413816,0.791696732,0.681838514,0.592465241,0.187138504,0.592465241,0.203060179
67,7114,2,185,256,165,0.000967663,0.00284144,59.4,0.00571201,60.4,21,49,12,32,0.644251102,0.382484893,0.442270676,0.607167764,0.803880619,0.686026732,0.593182756,0.187089585,0.593182756,0.207387613
65,2272,2,30,40,150,0.002680843,0.018242181,57.8,0.018289056,60.2,25,45,16,28,0.593614797,0.454720657,0.485159253,0.618538369,0.731052696,0.663578367,0.592886677,0.186515073,0.592886677,0.195027465
60,9937,2,185,32,165,0.003826775,0.02130952,59.8,0.023901071,60,23,47,15,30,0.588083111,0.427348625,0.484882149,0.610761892,0.758765522,0.673557107,0.593057074,0.186371276,0.593057074,0.19219628
45,5234,1,100,256,105,0.002123787,0.002916809,57.6,0.00577649,60.6,21,50,12,32,0.712013027,0.374431015,0.433807413,0.605175166,0.809022431,0.687439202,0.591726723,0.185431836,0.591726723,0.212222618
29,4633,3,80,24,185,0.00811091,0.029022333,57.8,0.029659578,60.2,23,47,15,30,0.572750583,0.427798086,0.475548281,0.615087937,0.755635807,0.673540592,0.591716946,0.183791494,0.591716946,0.185946873
8,1994,3,100,24,170,0.007783307,0.028588881,57.6,0.029213838,61.4,17,54,8,36,0.552041702,0.315278617,0.385662947,0.600736865,0.865208552,0.705365252,0.590243584,0.182714254,0.590243584,0.204921668
62,9646,2,185,256,150,0.000993497,0.002876875,57.8,0.005714789,60.2,19,51,11,34,0.724385783,0.347531974,0.41393389,0.602725082,0.834277951,0.693349912,0.590904963,0.182405264,0.590904963,0.21571416
