Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
94,8329,1,50,40,160,0.003810232,0.014794868,69,0.01654203,69.2,30,50,12,23,0.712116713,0.565794229,0.629112781,0.682788712,0.802622737,0.737104696,0.684208483,0.373683053,0.684208483,0.381332382
72,885,1,120,8,190,0.000767348,0.073602257,68.2,0.079179111,68.4,29,50,12,24,0.718828407,0.543821314,0.615119835,0.671835633,0.809887789,0.732658351,0.676854552,0.35838784,0.676854552,0.371535783
108,3125,1,135,40,75,0.00658553,0.015852462,65.8,0.017026458,67.6,30,49,13,23,0.686795179,0.563410463,0.615945684,0.679098797,0.779159596,0.724456255,0.671285029,0.347964338,0.671285029,0.353834324
88,6847,1,65,64,200,0.004196446,0.009749054,68.2,0.011596421,67.2,31,47,15,22,0.673537733,0.582102696,0.622667407,0.679381825,0.760527871,0.716453904,0.671315283,0.34387383,0.671315283,0.347704307
128,1348,1,50,64,200,0.003299042,0.010338889,64.8,0.011293513,67.6,28,50,12,25,0.693060615,0.532456492,0.598900492,0.670656517,0.807628294,0.731093687,0.670042393,0.343822723,0.670042393,0.351593755
109,6916,1,85,16,175,0.003510576,0.046985536,62.8,0.039784253,67.8,28,51,11,25,0.72561338,0.519913116,0.599247491,0.662462678,0.813747302,0.728905181,0.666830209,0.341312977,0.666830209,0.359021374
56,9135,1,55,16,125,0.004978156,0.038372671,66,0.040378762,67.4,27,51,11,26,0.704524332,0.5055816,0.584078158,0.661141659,0.820328457,0.73136755,0.662955028,0.332120016,0.662955028,0.344608661
123,3618,1,75,16,135,0.004143691,0.045146687,62.6,0.040445116,67,25,53,9,28,0.729534524,0.470382964,0.566093228,0.650841501,0.843822269,0.73365165,0.657102616,0.32254724,0.657102616,0.344866818
116,1106,1,160,64,155,0.002971191,0.010046914,66.6,0.011584786,66,31,46,16,22,0.651206904,0.575694895,0.610893446,0.669396088,0.73660675,0.701307476,0.656150822,0.314720857,0.656150822,0.316407512
12,1947,1,95,24,120,0.00974972,0.025675172,65.4,0.027203129,66.4,27,51,11,26,0.69380566,0.493046718,0.57072822,0.65386739,0.814802723,0.724684362,0.65392472,0.314292635,0.65392472,0.326462919
133,6704,1,165,24,170,0.001097771,0.026002003,63.6,0.027171296,66,24,52,9,29,0.683981417,0.464639338,0.527060881,0.658257753,0.845372753,0.733856956,0.655006045,0.313823026,0.655006045,0.32380557
59,4245,1,200,8,190,0.001324078,0.096639703,62.8,0.07893234,65.8,23,54,8,30,0.678172202,0.430841177,0.509145723,0.649515695,0.869188931,0.738353969,0.650015054,0.305134505,0.650015054,0.314475859
85,7770,1,70,8,140,0.002364189,0.078413503,65.2,0.07884148,65.6,28,49,13,25,0.665077221,0.512798202,0.573800884,0.65497751,0.786844743,0.713312739,0.649821473,0.302625939,0.649821473,0.309488905
87,5555,1,140,32,180,0.005901431,0.021844446,65.8,0.021829095,65,37,39,23,16,0.637169777,0.677746635,0.641442075,0.708250503,0.619516158,0.613173327,0.648631397,0.299657986,0.648631397,0.314641111
74,4749,1,60,32,175,0.002678297,0.018284075,68.2,0.022089002,65.6,26,50,11,27,0.688515965,0.483167269,0.558875989,0.648157286,0.803454218,0.715512612,0.643310744,0.293000089,0.643310744,0.309268029
93,6172,1,65,24,190,0.009213626,0.027764316,63.2,0.027204655,65.6,26,51,11,27,0.680858284,0.475430106,0.554181495,0.644963731,0.808624404,0.71671968,0.642027255,0.290112513,0.642027255,0.303573499
147,1232,1,80,256,190,0.003747456,0.002710779,64.6,0.005423543,65.2,26,50,12,27,0.67818092,0.475667363,0.554724936,0.643796697,0.809987176,0.715950505,0.64282727,0.289683,0.64282727,0.302926171
120,5801,1,65,24,190,0.002027556,0.029102492,60.6,0.028173,65.6,25,51,10,28,0.671617716,0.458072948,0.535153566,0.648195299,0.823429799,0.723741208,0.640751374,0.285387167,0.640751374,0.298861395
129,4763,1,165,256,190,0.00154459,0.004213572,61.6,0.005446634,65.8,24,53,9,29,0.570918183,0.438117767,0.491841494,0.649864101,0.843612702,0.728336801,0.640865235,0.284931373,0.640865235,0.293286088
130,2410,1,90,48,140,0.001571717,0.013656325,65.2,0.016775666,64.4,29,47,15,24,0.645680728,0.53110596,0.576826561,0.654216393,0.753573215,0.696681036,0.642339587,0.284337205,0.642339587,0.292069806
3,293,3,180,32,200,0.00385439,0.018658425,69.2,0.022390696,64.8,25,50,12,28,0.682718809,0.471259478,0.548652697,0.639076091,0.801535095,0.709766143,0.636397287,0.279142683,0.636397287,0.294838981
127,2606,3,200,32,180,0.002784155,0.018712382,67.6,0.022628917,63.8,29,46,16,24,0.648416826,0.532051262,0.574366732,0.653121571,0.747178169,0.690909833,0.639614715,0.278904904,0.639614715,0.289911833
91,7719,1,150,256,145,0.004486313,0.002996271,60.6,0.005526509,65.2,22,54,8,31,0.728390258,0.41129462,0.4953778,0.635674883,0.860918792,0.728887516,0.636106706,0.277881011,0.636106706,0.304784381
65,7221,1,160,256,170,0.001521519,0.00273702,64.2,0.005458498,64.8,26,49,13,27,0.669775846,0.485620237,0.551435185,0.641268344,0.788347671,0.703231706,0.636983954,0.277392953,0.636983954,0.291452593
58,6640,1,200,256,190,0.001360117,0.003249396,64.8,0.005438785,64.6,31,44,18,22,0.693461696,0.569833389,0.585551287,0.531493717,0.700435057,0.60311121,0.635134223,0.275626223,0.635134223,0.296056114
30,9801,3,65,128,195,0.004119006,0.005284967,62.6,0.005982881,65,23,53,9,30,0.575170955,0.415504167,0.481649599,0.638469904,0.854806677,0.727309181,0.635155422,0.274173301,0.635155422,0.284032246
57,1277,1,200,256,190,0.001279426,0.002647203,64.6,0.005483113,64,27,48,14,26,0.637814591,0.49033248,0.541204799,0.646881232,0.778892321,0.702082739,0.6346124,0.269511259,0.6346124,0.276897607
106,6258,1,115,256,190,0.002220824,0.002858375,63.8,0.005494607,64.8,22,53,9,31,0.579936582,0.407207769,0.473759578,0.636346883,0.857298822,0.725638994,0.632253295,0.267700432,0.632253295,0.281932577
62,6566,1,15,48,190,0.000672178,0.014084046,60.2,0.017011368,63.6,27,47,15,26,0.639837662,0.503361666,0.557632405,0.644239783,0.764009928,0.695855466,0.633685797,0.267254753,0.633685797,0.275435819
86,4762,1,65,256,190,0.00390102,0.003226544,60.2,0.005479157,64.8,21,54,8,32,0.586966601,0.387042566,0.465155467,0.631016447,0.874582095,0.730005491,0.630812331,0.265289105,0.630812331,0.281423542
60,6055,1,200,256,190,0.00126904,0.003189005,58.6,0.005519461,64,24,50,11,29,0.651130491,0.446850897,0.511637839,0.635351554,0.808004146,0.708328483,0.627427522,0.25865141,0.627427522,0.268649708
101,3367,1,105,64,90,0.001766514,0.01138472,58.2,0.012163094,64.4,23,52,9,30,0.566053002,0.416581699,0.475608665,0.635712471,0.836885834,0.717792086,0.626733766,0.258249641,0.626733766,0.269037693
81,574,1,95,40,165,0.00209516,0.022906257,62,0.017370891,63.6,33,41,21,20,0.642158055,0.609676507,0.596814117,0.53613216,0.642109079,0.583763862,0.625892793,0.257142721,0.625892793,0.264363272
18,5429,2,60,8,195,0.00086875,0.079065625,65.2,0.081764131,63.2,27,47,15,26,0.663757844,0.489435373,0.548418185,0.626490599,0.760075181,0.680468403,0.624755277,0.252459643,0.624755277,0.268587365
122,8430,1,95,256,170,0.001734256,0.002818316,62.4,0.005483288,63.2,27,47,15,26,0.650711811,0.498380387,0.558875406,0.627510459,0.748889061,0.680100988,0.623634724,0.252142497,0.623634724,0.26218001
28,2698,2,25,32,185,0.003201384,0.021271218,62.6,0.022791009,63.4,23,51,11,30,0.628978548,0.429025087,0.498955389,0.635936973,0.814315729,0.711202521,0.621670408,0.246544505,0.621670408,0.253542357
146,9692,1,65,256,190,0.001516961,0.00292262,56.6,0.005616102,63.4,25,49,13,28,0.649898236,0.4496782,0.499190196,0.637799714,0.794461442,0.701837161,0.622069821,0.246058423,0.622069821,0.259730078
121,5991,1,170,40,25,0.002255172,0.021331164,52.4,0.018621471,63.4,30,44,18,23,0.697380888,0.547437923,0.523118949,0.668960376,0.699185618,0.666257868,0.62331177,0.245983197,0.62331177,0.268823512
67,1052,1,200,256,170,0.0008791,0.002946009,56.2,0.005551783,63.6,23,51,11,30,0.548776583,0.422201447,0.474958271,0.630666562,0.819723855,0.707918845,0.620962651,0.244176891,0.620962651,0.252788567
150,6989,1,40,256,190,0.002228079,0.003729579,56.8,0.005621205,63.6,22,52,9,31,0.555422799,0.397486501,0.463030612,0.625931551,0.841346742,0.714597195,0.619416621,0.242524084,0.619416621,0.252113326
41,1115,4,150,128,180,0.006250301,0.005483663,62.6,0.006392202,63.4,24,50,12,29,0.657575021,0.439545268,0.49627994,0.630453447,0.796944824,0.699399442,0.618245046,0.240745211,0.618245046,0.255797147
61,2841,1,105,32,160,0.001922241,0.0258782,59.2,0.022454057,63.4,22,52,9,31,0.68283059,0.395270062,0.473678817,0.62309431,0.838289375,0.709533077,0.616779719,0.239208441,0.616779719,0.264758094
46,5168,2,145,64,155,0.001673913,0.011910904,59,0.012326025,63.4,28,46,16,25,0.738817233,0.502967663,0.50175192,0.683196584,0.730639387,0.654241618,0.616803525,0.237684633,0.616803525,0.285451357
110,5066,2,175,128,150,0.001228733,0.005804542,57,0.00653989,63.6,21,53,9,32,0.54893611,0.387973247,0.453121013,0.625212795,0.84438033,0.715195389,0.616176789,0.235720695,0.616176789,0.245143483
52,1807,1,30,256,80,0.005418152,0.002878555,57.4,0.005727683,63.2,22,51,11,31,0.64644566,0.40788126,0.48503883,0.622946194,0.823688311,0.707539514,0.615784785,0.235223311,0.615784785,0.248288312
34,4877,1,25,48,70,0.006590734,0.013910787,61,0.016622745,62.2,26,47,15,27,0.605868946,0.485000191,0.528024679,0.638782183,0.75173841,0.685753959,0.618369301,0.234812715,0.618369301,0.240385451
