model_84_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.03546551422312342,0.017571065385462874,51,57
2,0.01972293378464107,0.017553747205410974,47,59
3,0.01834178818710919,0.017798487917851595,52,50
4,0.018812278735226597,0.018434263892092947,52,49
5,0.019196997685679073,0.018827762139045585,52,50
6,0.019097476426897377,0.01883602041309163,53,50
7,0.018693271253643364,0.018943459300671595,52,55
8,0.018338371196697498,0.019287256871239614,55,49
9,0.018215631359610063,0.01932357832536859,58,49
10,0.01814746959456082,0.019155321484905178,58,50
11,0.01802313918697423,0.018953083935430496,58,50
12,0.017882267591254466,0.018813089799072782,59,51
13,0.01777513620668444,0.018748220750841045,59,51
14,0.017714046841037685,0.018724942611435712,60,51
15,0.017680485829197127,0.018710458177631183,60,51
16,0.017653270142859424,0.018690878051822468,60,52
17,0.017623310715987765,0.01866755849224026,60,52
18,0.017591281569209593,0.018645767943333773,60,53
19,0.017560296274464707,0.018627898672879752,60,54
20,0.01753179793213976,0.01861339504435911,61,54
21,0.017505451137649602,0.01860108466471656,61,55
22,0.017480487710443037,0.018590473017450107,61,55
23,0.017456490418006634,0.018581653045395673,61,55
24,0.01743337923082812,0.018574814675217967,61,56
25,0.017411139119288016,0.018570031655036796,60,56
26,0.017389683502501453,0.018567312571962,61,57
27,0.017368874673185677,0.01856665490037304,61,56
28,0.017348570941851056,0.01856798893314297,61,56
29,0.017328656439123482,0.018571094941284696,62,56
30,0.017309014524879127,0.018575671870829695,62,57
31,0.0172895569482754,0.018581621222576852,62,56
32,0.01727027869943915,0.018589482974197904,62,56
33,0.017251355123930966,0.018600901809789367,62,56
34,0.017233352979709363,0.018619806079541223,62,56
35,0.017217773815681195,0.018655671406600436,62,57
36,0.01720978422411557,0.018693922939947098,63,57
37,0.01718836701635657,0.018520113270161516,63,58
38,0.017035897050438256,0.019139544438507596,64,56
39,0.01737079062852366,0.0190205664957984,61,53
40,0.017392649989703607,0.019090150372456698,61,51
41,0.0173687733195979,0.018783637527692115,62,53
42,0.01721377799223209,0.01846617258201211,62,56
43,0.017001885021555013,0.01852181351790994,63,57
44,0.016868041121754152,0.018516201589067104,64,56
45,0.0168286231828147,0.01851819783954297,64,55
46,0.01672399519332524,0.018425527770640486,64,53
47,0.016640210010368247,0.018334470057891586,66,55
48,0.016371103067850244,0.018913308442649195,67,52
49,0.016526310865221352,0.01872043690438998,66,53
50,0.016366695407135732,0.01845504520303112,65,47
51,0.01713317067458712,0.01903461046138052,63,50
52,0.01667635977782052,0.01790611572184805,63,59
53,0.01638653816591049,0.019112095489340314,64,55
54,0.015976339514399397,0.019529780088844945,65,49
55,0.016186127310682988,0.019047864412857315,64,50
56,0.016251697108663362,0.018562521469795097,64,53
57,0.016445120025811524,0.01948889382814957,64,50
58,0.01600238231235537,0.018650322647418005,66,51
59,0.016111904048714144,0.01945082868559886,64,49
60,0.015639116859127736,0.01952828946760145,67,52
61,0.01568907569965412,0.019497732994920115,65,52
62,0.015557471726988924,0.01969028984085988,67,51
63,0.01539771881853712,0.019472455574294268,66,51
64,0.015255623721870882,0.019556100590754362,67,50
65,0.015149064683194819,0.019621635897684904,68,50
66,0.01510559497722264,0.01951843853724205,68,51
67,0.01503928487413916,0.019753800105240384,68,51
68,0.01497478577597388,0.019322804475234726,68,55
69,0.015353788461150795,0.019424128835484132,69,54
70,0.014765514382000628,0.019342677573026237,70,54
71,0.0149970684072067,0.019049727815692707,68,55
72,0.015512117859104583,0.020339180857448253,68,51
73,0.015325321205731096,0.02019937058626595,70,55
74,0.014713651211611155,0.01923675355264696,70,53
75,0.01515884877278887,0.01987664325762603,70,53
76,0.015151811314040217,0.020243269912267135,69,51
77,0.01560953285159736,0.019544697919134366,68,55
78,0.015896900974470992,0.018091439695681555,67,55
79,0.015768646294700688,0.01887804724402347,69,51
80,0.014905383296567818,0.01999249549235328,70,51
81,0.015015402937243724,0.021058202294980066,69,50
82,0.015127748250961304,0.020665223315610725,70,50
83,0.01507496904453327,0.020248294886896164,69,48
84,0.01465906363365979,0.019652956623142048,70,51
85,0.01438914541283558,0.019947882425987114,70,50
86,0.01446228667066015,0.019003498352180095,70,54
87,0.01467383081286118,0.018975232112205635,69,54
88,0.014984402420191929,0.017881621243590017,69,58
89,0.014649060008854702,0.01970425298658468,69,56
90,0.013905992153389701,0.019737643710637496,72,55
91,0.014341749443576253,0.018589093018386325,71,55
92,0.013928089098169887,0.01965074266417552,72,55
93,0.013767983186347732,0.02008279147794691,73,53
94,0.014479176751498518,0.020571604118508807,71,49
95,0.01457817646963843,0.022070662955106315,72,50
96,0.014704386671555453,0.02087596008333109,72,55
97,0.013790496914037343,0.019353250325736353,74,55
98,0.014621790948099104,0.022203167616310766,71,52
99,0.014101938376652783,0.018060051283593906,71,53
100,0.014254138387482742,0.019705894134812437,71,55
101,0.013995801708821592,0.019700823193889553,73,53
102,0.013671320959411818,0.018703600612737365,72,52
103,0.013888132340949157,0.020768014051146425,73,55
104,0.012809032317379425,0.019178712266986652,75,53
105,0.01270921778833044,0.02074081109741987,76,54
106,0.012533759826730037,0.020536901587146824,76,55
107,0.012386270638169914,0.0215697495614068,76,55
108,0.01225161963495715,0.023484620502439595,77,55
109,0.01281660313493219,0.02569900528859284,74,53
110,0.01281430341046432,0.018950070870124687,75,56
111,0.013789155103009322,0.02096260149600142,74,57
112,0.014505922473196325,0.018855984938346733,72,55
113,0.01324382482160782,0.019264502545534554,75,52
114,0.012681944103076541,0.019159700910923845,76,55
115,0.012178306499945706,0.020130238795684555,78,55
116,0.012272154591206846,0.01905226202334388,75,53
117,0.01212572036632176,0.02052006428524599,77,55
118,0.011421316785031351,0.020046198267047687,77,56
119,0.01155970733741234,0.021028137308056073,78,52
120,0.011790589654240114,0.020279254448615898,78,54
