model_20_1,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6915423180280107,0.6936354850330492,tensor([53.0337], device='cuda:1'),tensor([49.6350], device='cuda:1')
2,0.6781338238984012,0.6941300004068083,tensor([72.8090], device='cuda:1'),tensor([46.7153], device='cuda:1')
3,0.6655942884723792,0.6802017492969541,tensor([75.0562], device='cuda:1'),tensor([60.5839], device='cuda:1')
4,0.6455926921930206,0.6861860464959249,tensor([80.2247], device='cuda:1'),tensor([53.2847], device='cuda:1')
5,0.6159927731149653,0.698317832320276,tensor([83.1461], device='cuda:1'),tensor([49.6350], device='cuda:1')
6,0.5797751632969032,0.6677444659880478,tensor([87.8652], device='cuda:1'),tensor([59.1241], device='cuda:1')
7,0.537633509448405,0.6658481215908579,tensor([86.0674], device='cuda:1'),tensor([56.9343], device='cuda:1')
8,0.49388612421710837,0.7076113271887285,tensor([88.3146], device='cuda:1'),tensor([51.8248], device='cuda:1')
9,0.4523082033971722,0.8221866118646887,tensor([88.3146], device='cuda:1'),tensor([43.7956], device='cuda:1')
10,0.4429715382918883,0.8285243746137967,tensor([84.9438], device='cuda:1'),tensor([44.5255], device='cuda:1')
