Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
21,5748,2,165,32,90,0.00812362,0.019393035,69,0.021723857,67.8,32,47,15,21,0.677377694,0.60408405,0.634857746,0.688771349,0.751937878,0.716268633,0.678010964,0.356018883,0.678010964,0.361004461
130,8655,4,105,256,175,0.00654872,0.002596246,67.6,0.00536738,67.6,35,44,18,18,0.66181118,0.655447124,0.653304379,0.704588282,0.69987753,0.697505387,0.677662327,0.355116846,0.677662327,0.360773911
58,6979,3,55,256,200,0.005124037,0.002499322,69.6,0.005171681,67.2,31,47,15,22,0.675491044,0.572605968,0.613959436,0.6804361,0.758863947,0.713315596,0.665734958,0.335098976,0.665734958,0.343396617
64,306,3,60,256,145,0.00537742,0.002459528,70.2,0.005456658,66.4,31,46,16,22,0.657881088,0.590461394,0.620392504,0.678405965,0.737599867,0.705760097,0.664030631,0.329295814,0.664030631,0.332071976
61,6036,3,70,256,200,0.009199885,0.002339369,72.8,0.005438362,66.8,31,47,15,22,0.664208946,0.570855523,0.609335423,0.676502845,0.754474106,0.711630582,0.662664815,0.327693816,0.662664815,0.332617087
46,129,2,190,128,110,0.006135379,0.004920555,70.6,0.005767042,66.6,31,46,16,22,0.658164546,0.58535742,0.617291802,0.678431431,0.737818945,0.705893366,0.661588183,0.326810055,0.661588183,0.329707117
48,5877,4,155,56,85,0.004553965,0.01162996,67,0.013281784,66,34,43,19,19,0.647435397,0.634187042,0.633037473,0.689029986,0.696094588,0.687107301,0.665140815,0.32667575,0.665140815,0.333262369
55,5289,3,140,256,120,0.003700248,0.002618105,66.8,0.005442562,65.8,33,43,18,20,0.646832478,0.623357137,0.630567785,0.683244989,0.701715541,0.689300123,0.662536339,0.323444893,0.662536339,0.327510633
138,4772,4,115,128,115,0.002675797,0.005424579,65.2,0.005929511,65.8,34,42,20,19,0.635389124,0.649443364,0.638582418,0.692623957,0.676100787,0.681080049,0.662772075,0.323087236,0.662772075,0.326763944
114,2163,3,55,64,125,0.007184769,0.009887749,67.6,0.011671017,66,33,44,18,20,0.642617167,0.61724567,0.62749701,0.682986839,0.704111559,0.691729075,0.660678614,0.32189529,0.660678614,0.323456374
128,1186,4,105,256,175,0.006577515,0.002493299,69.6,0.005338545,66.2,32,44,18,21,0.640926152,0.607767018,0.615865809,0.685544287,0.708934212,0.693191452,0.658350615,0.317599396,0.658350615,0.321201347
118,2327,1,190,256,155,0.008546665,0.002386172,71.6,0.005342415,67,28,49,13,25,0.662628853,0.528113539,0.57946601,0.670367909,0.785954218,0.721514191,0.657033879,0.31705323,0.657033879,0.322869624
126,6669,2,100,64,195,0.000901384,0.010983765,63.4,0.011665186,64.2,33,42,20,20,0.693832158,0.634857018,0.624144605,0.537160106,0.672913576,0.596423752,0.653885297,0.311792526,0.653885297,0.326198319
9,7807,3,105,40,100,0.005110503,0.016260091,66.2,0.017460931,65.4,34,42,20,19,0.634482849,0.625696685,0.627278986,0.680840287,0.685726324,0.680860147,0.655711504,0.310504899,0.655711504,0.313350107
119,4330,1,190,48,155,0.008231718,0.013040656,67.8,0.015261855,66,30,46,16,23,0.653470004,0.564954689,0.599796873,0.669422875,0.744636384,0.70182397,0.654795536,0.310185949,0.654795536,0.316011794
54,4885,3,90,256,190,0.003476018,0.002482521,69.2,0.00545505,65.4,31,44,17,22,0.642522009,0.585802597,0.610438705,0.670304638,0.720889617,0.692881597,0.653346107,0.306332188,0.653346107,0.309723336
78,9808,3,25,32,200,0.002061223,0.020222146,64.6,0.022183856,66.6,28,49,13,25,0.553657786,0.509587301,0.52673486,0.676688807,0.794139077,0.720751751,0.651863189,0.304814451,0.651863189,0.30938516
86,6788,4,100,64,175,0.003814117,0.010086597,67.2,0.011342661,65.4,31,45,17,22,0.648187445,0.576485465,0.60328165,0.668715137,0.723834879,0.69095979,0.650160172,0.301573389,0.650160172,0.308302597
127,2628,1,185,32,105,0.004059382,0.019284916,67.8,0.022312347,65.6,28,47,15,25,0.643599813,0.541439249,0.578506099,0.66457595,0.754521341,0.703623368,0.647980295,0.296849837,0.647980295,0.301515609
32,1001,4,180,128,140,0.001051217,0.005147062,68.4,0.006063231,64.6,33,42,20,20,0.627477447,0.616683449,0.61528531,0.676287374,0.67723732,0.671298895,0.646960384,0.293622149,0.646960384,0.298704113
16,2235,4,65,8,180,0.000495588,0.08147083,62,0.082290123,65.2,28,47,14,25,0.656402052,0.518683647,0.574360938,0.653836284,0.769368521,0.705030841,0.644026084,0.29078884,0.644026084,0.298596228
115,5292,1,190,256,200,0.006059376,0.002401886,71.4,0.005342458,66,27,48,13,26,0.59514307,0.520576672,0.540794748,0.670529747,0.768275269,0.710605361,0.64442597,0.289004241,0.64442597,0.282094
57,9464,3,55,256,200,0.005237626,0.002613112,66.8,0.005404055,65.2,28,47,15,25,0.663627451,0.534866318,0.567386363,0.660305534,0.75032835,0.696338253,0.642597334,0.28736639,0.642597334,0.300744866
67,7404,3,70,256,200,0.008936938,0.002487509,69.6,0.005508517,65,26,49,13,27,0.660562003,0.496566867,0.560019684,0.648373042,0.784811433,0.707845749,0.64068915,0.284346735,0.64068915,0.294434493
132,5015,4,120,48,190,0.0014459,0.014623407,58.4,0.016046575,65.2,30,46,16,23,0.52432566,0.541586562,0.531230012,0.676740341,0.740845374,0.695429357,0.641215968,0.282226472,0.641215968,0.284191972
129,1711,4,105,24,175,0.004922675,0.026027317,66.4,0.027195251,64.8,29,46,16,24,0.635856105,0.547083921,0.569038584,0.665977878,0.733659136,0.691824554,0.640371528,0.281631638,0.640371528,0.289679118
60,6270,3,55,40,200,0.000735953,0.017035675,63.2,0.017514784,65.2,28,47,14,25,0.52946047,0.513873211,0.520916729,0.667858173,0.765787078,0.704693913,0.639830144,0.280167486,0.639830144,0.280938916
