Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
127,3160,1,45,8,10,0,0.000728433,0.676079448,56.02701035,0.695281291,54.88037415,19,44,17,34,0.410460993,0.360527178,0.383831831,0.560825986,0.693489645,0.614905258,0.527008411,0.053876102,0.527008411,0.054258623
39,4816,3,15,48,40,0,0.000781419,0.680474087,56.73088226,0.689606067,54.57004395,7,56,6,46,0.362859097,0.141040737,0.185885412,0.552953453,0.910433454,0.68151683,0.525737096,0.053495182,0.525737096,0.052971806
12,8797,1,160,14,5,5,0.000103481,0.665286842,60.77885818,0.757912575,52.84509277,17,44,18,36,0.484874993,0.329064628,0.328931352,0.557491704,0.723495415,0.606552123,0.526280022,0.053133973,0.526280022,0.063943741
18,7246,1,115,14,30,2,0.00016835,0.678212522,58.44801865,0.725026052,51.89065704,29,30,32,24,0.495049409,0.542334173,0.490341942,0.574933025,0.509977504,0.518729508,0.526155839,0.05297068,0.526155839,0.060434196
117,5627,4,140,40,40,4,0.000337508,0.669482002,58.70275497,0.694394859,50.89139099,35,24,38,18,0.479706099,0.63971229,0.52811544,0.573767886,0.411421388,0.444622399,0.525566839,0.051295091,0.525566839,0.053279468
36,6818,2,65,24,5,4,0.000680729,0.637270706,64.19978104,0.715236769,51.94071808,27,32,30,26,0.498671866,0.510442074,0.489380683,0.554605597,0.539328927,0.530254604,0.5248855,0.050031516,0.5248855,0.051489235
50,9667,2,185,14,30,0,0.006834807,0.689599277,53.76546478,0.684055555,55.82373505,11,53,9,42,0.223026316,0.212212693,0.213399504,0.561776344,0.836569987,0.656751067,0.52439134,0.049157362,0.52439134,0.05080052
109,9965,3,160,32,20,5,0.00157934,0.67928719,56.26702881,0.685474434,55.5668541,23,41,21,30,0.32074445,0.414421025,0.34952257,0.467007661,0.635119798,0.526285245,0.524770412,0.049067487,0.524770412,0.030691085
116,6675,3,95,10,45,3,0.001173091,0.675827456,56.87818451,0.684100492,53.50978699,29,33,29,24,0.472530504,0.535957185,0.496292061,0.577277252,0.513886603,0.536218811,0.524921894,0.048298488,0.524921894,0.049875295
141,6334,1,165,40,45,2,0.000120848,0.543437968,74.00463181,0.725631217,52.08926773,31,29,33,22,0.477014886,0.588735765,0.523127896,0.586100302,0.458891412,0.505411735,0.523813588,0.045440933,0.523813588,0.054763739
24,4127,2,35,32,30,1,0.000952295,0.636770661,59.75491333,0.682978902,54.01419983,16,46,15,37,0.42329331,0.307626182,0.320230115,0.556462305,0.737404247,0.621580747,0.522515214,0.044510056,0.522515214,0.037783288
133,2476,3,10,8,40,3,0.008379094,0.678270916,57.94053116,0.682129796,55.89598541,5,59,3,48,0.127272727,0.105660377,0.115463918,0.555087861,0.938461538,0.692193291,0.522060958,0.044049991,0.522060958,0.044709798
11,7453,1,190,12,30,1,0.000537637,0.68130501,57.69469604,0.688476238,52.745047,29,32,30,24,0.481825246,0.527429854,0.488424849,0.567506859,0.518378235,0.526238549,0.522904045,0.043442787,0.522904045,0.047508863
87,5066,3,150,8,30,1,0.000305121,0.66545411,58.08462524,0.686971392,55.54639816,15,49,13,38,0.429228209,0.281988416,0.291266043,0.554943351,0.758822964,0.624936245,0.52040569,0.041462414,0.52040569,0.049204625
22,3079,4,180,48,45,4,0.000251696,0.667990805,57.54478226,0.692105371,52.640905,25,35,26,28,0.481658779,0.475955658,0.474744626,0.55936478,0.564715145,0.558059296,0.520335402,0.040414614,0.520335402,0.040845491
115,940,2,170,8,10,5,0.002114972,0.694680285,53.78142014,0.684912581,55.33440857,3,61,1,50,0.145454545,0.058181818,0.083116883,0.547951556,0.980327869,0.701326116,0.519254844,0.03968059,0.519254844,0.049050223
49,4660,2,115,14,30,0,0.000826937,0.664136403,59.74835434,0.685663609,54.92976685,20,44,18,33,0.399697547,0.36349953,0.356142832,0.566727283,0.675893945,0.58528193,0.519696737,0.039154342,0.519696737,0.04424095
145,3595,3,75,10,25,5,0.000340671,0.673407955,56.87960892,0.689075156,53.45206451,26,36,26,27,0.427890647,0.491166219,0.427126065,0.511671932,0.545100135,0.493254443,0.518133177,0.038578069,0.518133177,0.032382669
