model_34_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.03639331948140572,0.030059643216052298,46,46
2,0.030219419377631153,0.03288063154382221,53,48
3,0.030154798179864883,0.0344437739606631,53,49
4,0.0298032585916848,0.03298977168939882,53,47
5,0.029613201345863014,0.033237361301810056,54,46
6,0.029559036010298235,0.03303950216810582,55,46
7,0.029555949543056816,0.03296990566334482,54,46
8,0.02966391590648684,0.032774765107591274,56,47
9,0.029966328999605673,0.03230048943374116,55,47
10,0.03044809362497823,0.03183678752284939,54,48
11,0.03030845625647183,0.03231519309140868,55,47
12,0.030189147026374423,0.031020578186390764,55,51
13,0.030429941505707544,0.03087223838951628,54,51
14,0.03100120102794006,0.030501854621757894,52,61
15,0.03152015362063359,0.031782153299299336,59,55
16,0.030732173601101184,0.031453498844373026,60,51
17,0.030052679494537157,0.03067390039815741,61,56
18,0.029236325929904806,0.030183168285984104,61,61
19,0.028817676778497368,0.03032166725498135,61,62
20,0.028792296375693947,0.030515421750181813,62,62
21,0.028753557595713384,0.030616797127966153,62,61
22,0.028678815041122765,0.030709668741387836,62,61
23,0.028609132458423746,0.0308109233945103,62,60
24,0.028541197036874705,0.030908581563981914,61,60
25,0.028470783012694324,0.031001974970607433,61,60
26,0.028398450849385096,0.031094469256320242,61,60
27,0.02832464771024112,0.031186904442512382,61,60
28,0.028248866056573802,0.03127835110082465,62,60
29,0.028170135642947822,0.031367564605454264,63,61
30,0.02808756329889955,0.031452228962364846,63,61
31,0.02800060834350257,0.03152730050733534,63,61
32,0.027909116048751206,0.03158518975063906,64,61
33,0.027813303637607343,0.03161938917838921,64,62
34,0.027713980204586326,0.03162861552278874,64,61
35,0.02761266920073279,0.03161718254372225,64,61
36,0.027511194027189552,0.031591498750751304,63,61
37,0.027411097853348172,0.0315538162397126,64,61
38,0.027314011970984525,0.031492404260877835,63,61
39,0.027223864249114334,0.03137291816331572,63,61
40,0.02714630543928722,0.031159242583533465,63,61
41,0.027064143904838068,0.0308105076773692,65,62
42,0.026950638484338235,0.030566468834877014,64,62
43,0.026753821185436743,0.029820716734659875,66,64
44,0.02659969815406306,0.030299895395666868,64,63
45,0.027195644597041196,0.03166372392137172,66,64
46,0.02671003052643661,0.02973244654930244,65,63
47,0.026492843532870555,0.031553664197356016,66,64
48,0.025779340544651294,0.03008825319298243,68,63
49,0.025956298513659114,0.02959149798094216,69,62
50,0.026115136028363788,0.030645120446964845,68,64
51,0.02547587987420888,0.030450481226888752,67,65
52,0.025537301368754487,0.03056035354986029,67,66
53,0.026011179297648627,0.032376993510682704,67,63
54,0.025067116808274698,0.029003302172078926,71,66
55,0.0249267321336886,0.030882360066397715,70,66
56,0.024754865416165055,0.032772219029523555,67,65
57,0.024609701065667743,0.029428539134688295,71,66
58,0.02445069363276506,0.030237064775774033,70,65
59,0.024136507434063946,0.03042334570723065,71,68
60,0.024870762537265646,0.03319095984353858,68,61
61,0.024348163848807072,0.029875676005573597,70,68
62,0.024216079345807946,0.03203390084080777,71,66
63,0.023285661053297848,0.03212630167856055,72,66
64,0.02346364559669947,0.02977063191139092,73,63
65,0.023715294255264873,0.030221962575185096,72,63
66,0.02337086948983628,0.03114406486689034,73,63
67,0.02303498633334349,0.03220004272662987,71,66
68,0.0232986387122294,0.029749465190758138,72,63
69,0.0232780949565871,0.031444343722472755,74,65
70,0.02279586377071923,0.03320609437207044,74,66
71,0.02309378647598727,0.03106077621548863,74,63
72,0.022760566709370447,0.03309506455720481,74,66
73,0.02231834931620236,0.034705219379926135,75,66
74,0.022928439594548326,0.03272748675386784,75,67
75,0.02218129929026653,0.03305939244011701,75,63
76,0.022900312432441217,0.03662092630135811,75,66
77,0.022425839998598755,0.035627088809417465,75,66
78,0.022365007099920307,0.03568547256922318,75,61
79,0.021727009644282275,0.03593340213015928,75,66
80,0.02166153336393422,0.039789511743238415,76,64
81,0.021767339123220278,0.038129570625596125,76,64
82,0.021525682046495635,0.036813425815711585,76,66
