Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
20,905,3,30,40,10,2,0.000143007,0.463381282,89.89468384,0.64816242,62.86954346,37,35,26,16,0.596229483,0.684293296,0.626762415,0.688316677,0.586420587,0.619870926,0.635356941,0.266352524,0.635356941,0.277411998
146,6894,3,15,48,15,5,0.000475273,0.532730498,78.45447235,0.654824202,63.47257385,28,45,17,25,0.641172451,0.530967004,0.56457243,0.645815111,0.720018755,0.672011122,0.62549288,0.253590334,0.62549288,0.267725811
67,2024,3,70,48,15,5,0.000835852,0.589456787,69.33512878,0.663231971,63.29713974,27,46,16,26,0.636974116,0.507323653,0.556170122,0.638441196,0.742167322,0.682396783,0.624745488,0.250730655,0.624745488,0.261728105
64,253,3,75,24,40,3,0.005695625,0.591723482,67.54704208,0.661184662,64.61054916,20,55,7,33,0.6237669,0.367813452,0.439448389,0.624894577,0.876695236,0.723039167,0.622254344,0.248848635,0.622254344,0.281547478
15,8736,2,115,16,45,0,0.000370111,0.539864564,72.68564148,0.645355997,62.93030624,32,41,21,21,0.600422282,0.598471409,0.596039482,0.651217569,0.64566573,0.643969383,0.622068569,0.245380512,0.622068569,0.247824428
94,7908,2,45,40,30,4,0.0001007,0.439229649,87.96503296,0.656660702,62.46951294,35,37,24,18,0.582533116,0.652171386,0.609914824,0.676965225,0.594099483,0.625150191,0.623135435,0.244460472,0.623135435,0.252721512
69,6139,3,15,40,15,4,0.000224694,0.503676267,86.0112793,0.650488682,61.98541031,37,34,27,16,0.57833827,0.693481408,0.626581575,0.662377245,0.544136673,0.58758803,0.61880904,0.235673015,0.61880904,0.239016447
100,7962,1,75,40,40,1,0.001340866,0.540801805,74.64419556,0.660621712,63.02585373,28,45,17,25,0.62999558,0.516958942,0.552240921,0.632742293,0.713600626,0.665704343,0.615279784,0.234902353,0.615279784,0.244828842
95,1032,3,200,10,25,2,0.000987938,0.562987778,72.99192963,0.657142534,61.61934586,33,39,23,20,0.590389729,0.610177489,0.581577154,0.667176471,0.625485979,0.631987435,0.617831734,0.233755742,0.617831734,0.245988621
117,8407,3,65,40,45,5,0.001602084,0.593791619,68.68038406,0.649430933,62.88800583,30,42,19,23,0.586894063,0.553815849,0.55708774,0.663936206,0.678470515,0.654301448,0.616143182,0.23270052,0.616143182,0.24118752
