model_7_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.03929015306820129,0.05353746405344898,71,61
2,0.031901671197907676,0.04949156169669103,75,66
3,0.03183500738493327,0.050580180802587735,75,66
4,0.0300309960569801,0.05038280330472073,77,66
5,0.029622197151184082,0.05136506966615127,76,65
6,0.029379150412719827,0.05163569824170258,76,65
7,0.02897564093742905,0.052021527441881474,76,65
8,0.028609131816132314,0.052297032990698086,77,64
9,0.028301241422264742,0.05258488301503456,77,64
10,0.02801475413785926,0.05282554080930807,77,64
11,0.02774218293228026,0.053047708030474386,77,64
12,0.02748552407940914,0.053243801755420234,77,64
13,0.027243444118006475,0.05342247829598896,78,64
14,0.02701383906191793,0.05358285722085985,78,65
15,0.026795696435046607,0.0537282253726054,78,65
16,0.026588278051851124,0.05385981323355335,79,66
17,0.02639097479525311,0.05397962311566886,80,66
18,0.02620320885988145,0.05408900774131387,80,66
19,0.026024501674391073,0.054189415301306776,80,67
20,0.025854428941062813,0.05428206263962439,80,67
21,0.025692631297841155,0.0543681226544461,80,67
22,0.025538774817411243,0.054448616706718835,81,66
23,0.025392560095622622,0.05452450958348937,81,66
24,0.025253696335030013,0.054596638780529214,81,66
25,0.02512188991210584,0.05466574784052574,81,66
26,0.02499684980460282,0.054732495950440226,81,66
27,0.024878272754621917,0.05479746248762486,81,66
28,0.024765854187566657,0.05486108185881275,81,66
29,0.02465926814053593,0.05492375866841462,81,66
30,0.024558196229667498,0.054985790434530224,81,66
31,0.024462305330510796,0.0550473923400297,81,66
32,0.024371270475716425,0.05510874269372326,81,66
33,0.024284766473132987,0.0551699329230745,81,66
34,0.02420248055894827,0.05523103475570679,81,66
35,0.024124106360149795,0.05529207269013938,81,66
36,0.02404935410695857,0.055353021975290975,82,66
37,0.0239779496051628,0.05541388185347541,82,66
38,0.023909631217348164,0.055474585648310384,82,66
39,0.02384415721713469,0.055535089666560546,82,66
40,0.023781304183448183,0.055595333545894944,82,66
41,0.02372085720557591,0.055655252125303624,82,66
42,0.02366263262028324,0.0557147918616311,82,66
43,0.023606447310283267,0.05577388582593304,82,66
44,0.02355214237267601,0.055832477949433405,82,65
45,0.023499565006330096,0.05589052201327631,82,65
46,0.023448584215908216,0.055947959423065186,82,65
47,0.023399079507537956,0.05600477704557322,82,65
48,0.02335093401629349,0.05606092083252082,82,65
49,0.023304044814973043,0.05611638169167405,82,65
50,0.023258322496609442,0.05617112426434533,82,65
51,0.023213682631994116,0.05622514021598687,82,65
52,0.023170048146155375,0.05627842222229909,82,64
53,0.02312735150214927,0.05633097230377844,82,64
54,0.023085527443166436,0.056382779852818636,82,64
55,0.02304452179192469,0.05643385320396747,82,64
56,0.02300428567004615,0.056484216098058024,82,64
57,0.022964769107257497,0.056533872576083166,82,64
58,0.0229259272395023,0.05658282895209426,82,64
59,0.022887728273354727,0.05663110947204848,82,64
60,0.022850130845246643,0.05667873509859635,82,64
61,0.02281311000215596,0.056725730330257094,82,64
62,0.022776630546512276,0.056772108805381645,82,64
63,0.022740671603844083,0.056817916237701806,82,64
64,0.02270520436738072,0.05686315060672113,82,64
65,0.022670211270451546,0.05690784373525846,82,64
66,0.02263567021823135,0.05695204462035228,82,64
67,0.022601565538809217,0.05699576791060173,82,64
68,0.022567880275691378,0.05703902926485417,82,64
69,0.022534603060319507,0.05708187515452757,82,64
70,0.022501712600732672,0.05712433235119965,82,64
