model_13_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.717146752209499,1.4465845409086195,tensor([53.8793], device='cuda:1'),tensor([50.], device='cuda:1')
2,0.698488619820825,0.7382262429948581,tensor([51.9397], device='cuda:1'),tensor([50.], device='cuda:1')
3,0.6737534855974132,0.7417173183570474,tensor([54.3103], device='cuda:1'),tensor([33.8983], device='cuda:1')
4,0.6258369663666035,0.8240453732215752,tensor([67.6724], device='cuda:1'),tensor([43.2203], device='cuda:1')
5,0.5912594178627277,0.8570112828480996,tensor([71.1207], device='cuda:1'),tensor([48.3051], device='cuda:1')
6,0.5302540567414514,0.720161021766016,tensor([75.], device='cuda:1'),tensor([57.6271], device='cuda:1')
7,0.4427269537901056,1.086246636964507,tensor([81.8966], device='cuda:1'),tensor([50.], device='cuda:1')
8,0.3973621654099432,1.28622577857163,tensor([84.4828], device='cuda:1'),tensor([50.8475], device='cuda:1')
9,0.31231726423419753,1.5788462687346896,tensor([86.2069], device='cuda:1'),tensor([55.9322], device='cuda:1')
10,0.320778144330814,1.5356368836710008,tensor([88.5776], device='cuda:1'),tensor([48.3051], device='cuda:1')
11,0.19765202880933366,1.9466121499821292,tensor([91.3793], device='cuda:1'),tensor([49.1525], device='cuda:1')
12,0.23863552170323915,1.3295378735509968,tensor([92.6724], device='cuda:1'),tensor([59.3220], device='cuda:1')
13,0.1978566281754395,0.9565060623621536,tensor([92.0259], device='cuda:1'),tensor([59.3220], device='cuda:1')
14,0.12458735964550026,1.9680110771777266,tensor([95.6897], device='cuda:1'),tensor([57.6271], device='cuda:1')
15,0.0737158281824969,1.9499046903545574,tensor([98.2759], device='cuda:1'),tensor([58.4746], device='cuda:1')
16,0.08671426879049375,1.5526195047265392,tensor([97.8448], device='cuda:1'),tensor([59.3220], device='cuda:1')
17,0.09313321126432254,1.8274069701210927,tensor([96.5517], device='cuda:1'),tensor([53.3898], device='cuda:1')
18,0.039462843986131764,2.433891944966074,tensor([98.7069], device='cuda:1'),tensor([50.8475], device='cuda:1')
19,0.030624992010416463,2.883709854998831,tensor([99.1379], device='cuda:1'),tensor([53.3898], device='cuda:1')
20,0.031394572224034446,2.4671239630650668,tensor([98.9224], device='cuda:1'),tensor([49.1525], device='cuda:1')
21,0.029505649959901348,3.0149746466491183,tensor([99.1379], device='cuda:1'),tensor([55.0847], device='cuda:1')
22,0.03278497158166358,2.987978551347377,tensor([99.3534], device='cuda:1'),tensor([47.4576], device='cuda:1')
23,0.07124411105178297,2.3019841242644747,tensor([97.4138], device='cuda:1'),tensor([53.3898], device='cuda:1')
24,0.0860847077806127,2.98643924018084,tensor([96.9828], device='cuda:1'),tensor([54.2373], device='cuda:1')
25,0.05360644610984058,3.015546131942232,tensor([98.4914], device='cuda:1'),tensor([47.4576], device='cuda:1')
26,0.04078445148115861,4.264137930789237,tensor([99.3534], device='cuda:1'),tensor([54.2373], device='cuda:1')
27,0.10201172987480872,1.794447268469859,tensor([97.1983], device='cuda:1'),tensor([55.0847], device='cuda:1')
28,0.050616972606051074,3.899933762469534,tensor([98.7069], device='cuda:1'),tensor([52.5424], device='cuda:1')
29,0.13581569870966004,3.3820125006012995,tensor([96.9828], device='cuda:1'),tensor([54.2373], device='cuda:1')
30,0.10963466643066756,1.9914569935556186,tensor([96.7672], device='cuda:1'),tensor([43.2203], device='cuda:1')
31,0.10263050222319775,2.535118132324542,tensor([96.5517], device='cuda:1'),tensor([52.5424], device='cuda:1')
32,0.06562464428937127,2.3964043956691934,tensor([97.8448], device='cuda:1'),tensor([58.4746], device='cuda:1')
33,0.016372870769530357,3.4041308306031306,tensor([100.], device='cuda:1'),tensor([61.0169], device='cuda:1')
34,0.01787060787256482,3.8349046444488786,tensor([99.3534], device='cuda:1'),tensor([56.7797], device='cuda:1')
35,0.03549012901234603,2.6915753514079723,tensor([98.7069], device='cuda:1'),tensor([55.0847], device='cuda:1')
36,0.029604196216527708,2.43338612277629,tensor([98.9224], device='cuda:1'),tensor([51.6949], device='cuda:1')
37,0.026152682879032437,2.70329461259357,tensor([99.1379], device='cuda:1'),tensor([55.9322], device='cuda:1')
38,0.001751890409086,3.050827559778246,tensor([100.], device='cuda:1'),tensor([53.3898], device='cuda:1')
39,0.0005572184170510998,3.191393213757014,tensor([100.], device='cuda:1'),tensor([54.2373], device='cuda:1')
40,0.004208439010724384,3.507807909432104,tensor([100.], device='cuda:1'),tensor([54.2373], device='cuda:1')
41,0.0006532777425836057,3.445119094040434,tensor([100.], device='cuda:1'),tensor([52.5424], device='cuda:1')
42,0.0014310540454814677,5.369785680609234,tensor([100.], device='cuda:1'),tensor([53.3898], device='cuda:1')
43,0.0002272189843975427,3.870657205581665,tensor([100.], device='cuda:1'),tensor([52.5424], device='cuda:1')
