model_13_2,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6989692644912655,1.3256440432566516,tensor([53.3613], device='cuda:1'),tensor([60.3774], device='cuda:1')
2,0.6443750432559422,0.7358622505979718,tensor([65.1261], device='cuda:1'),tensor([60.3774], device='cuda:1')
3,0.5997593485507644,1.307924432574578,tensor([68.0672], device='cuda:1'),tensor([50.9434], device='cuda:1')
4,0.5087553022288475,1.1030081600513097,tensor([77.1008], device='cuda:1'),tensor([52.8302], device='cuda:1')
5,0.5024291940596926,0.8058577843432156,tensor([76.0504], device='cuda:1'),tensor([56.6038], device='cuda:1')
6,0.49086445119200633,1.973460944193714,tensor([77.7311], device='cuda:1'),tensor([59.4340], device='cuda:1')
7,0.366778353683087,1.3953921075137157,tensor([82.5630], device='cuda:1'),tensor([54.7170], device='cuda:1')
8,0.3329192045606485,1.005266711396991,tensor([84.0336], device='cuda:1'),tensor([58.4906], device='cuda:1')
9,0.2643327267856157,0.8825549562022371,tensor([88.6555], device='cuda:1'),tensor([54.7170], device='cuda:1')
10,0.25604001714401886,2.322176545296075,tensor([91.1765], device='cuda:1'),tensor([45.2830], device='cuda:1')
11,0.26128997365717127,1.043620711227633,tensor([90.1261], device='cuda:1'),tensor([58.4906], device='cuda:1')
12,0.19317858118344755,0.9990622581176039,tensor([93.9076], device='cuda:1'),tensor([55.6604], device='cuda:1')
13,0.17863353373122817,1.1623163920528483,tensor([92.4370], device='cuda:1'),tensor([57.5472], device='cuda:1')
14,0.15663701586988793,1.413919451101771,tensor([95.1681], device='cuda:1'),tensor([57.5472], device='cuda:1')
15,0.07162283111301039,4.180337937373035,tensor([98.1092], device='cuda:1'),tensor([47.1698], device='cuda:1')
16,0.076822029168428,2.5131183120439635,tensor([97.6891], device='cuda:1'),tensor([51.8868], device='cuda:1')
17,0.1455521501068558,1.1628908121360924,tensor([95.1681], device='cuda:1'),tensor([54.7170], device='cuda:1')
18,0.06412142211133066,1.859317811030262,tensor([98.9496], device='cuda:1'),tensor([55.6604], device='cuda:1')
19,0.09857675247676984,2.993214094413901,tensor([96.0084], device='cuda:1'),tensor([57.5472], device='cuda:1')
20,0.12335296900269865,2.437326685437616,tensor([95.1681], device='cuda:1'),tensor([51.8868], device='cuda:1')
21,0.025764760709007687,2.1507552164905475,tensor([99.1597], device='cuda:1'),tensor([60.3774], device='cuda:1')
22,0.01873590287942236,1.3420876545726128,tensor([99.1597], device='cuda:1'),tensor([63.2075], device='cuda:1')
23,0.24734897708848996,3.9314198359003605,tensor([95.3782], device='cuda:1'),tensor([61.3208], device='cuda:1')
24,0.18803359436638215,1.4021236694084023,tensor([93.9076], device='cuda:1'),tensor([58.4906], device='cuda:1')
25,0.09289919049674723,1.580250195737155,tensor([96.6387], device='cuda:1'),tensor([59.4340], device='cuda:1')
26,0.04326999822471041,1.6983616936881587,tensor([98.3193], device='cuda:1'),tensor([56.6038], device='cuda:1')
27,0.023447563316506242,1.8983345571553931,tensor([99.3698], device='cuda:1'),tensor([58.4906], device='cuda:1')
28,0.027319569910334487,2.8029170306223743,tensor([99.3698], device='cuda:1'),tensor([57.5472], device='cuda:1')
29,0.010375851434127217,2.525753956920696,tensor([99.7899], device='cuda:1'),tensor([53.7736], device='cuda:1')
30,0.0026882035317077465,2.83098001300164,tensor([100.0000], device='cuda:1'),tensor([55.6604], device='cuda:1')
31,0.01579835732191139,6.724846453036902,tensor([99.5798], device='cuda:1'),tensor([55.6604], device='cuda:1')
32,0.27592371560500134,6.587772832726532,tensor([94.5378], device='cuda:1'),tensor([50.9434], device='cuda:1')
33,0.06366230558384867,2.287828283489875,tensor([97.8992], device='cuda:1'),tensor([60.3774], device='cuda:1')
34,0.03844704784593787,1.7390824263950564,tensor([98.5294], device='cuda:1'),tensor([59.4340], device='cuda:1')
35,0.03666344816364082,2.8294283219103544,tensor([99.1597], device='cuda:1'),tensor([56.6038], device='cuda:1')
36,0.026516652118195507,2.0965505456024744,tensor([99.1597], device='cuda:1'),tensor([54.7170], device='cuda:1')
37,0.036740536154873916,2.232779754782623,tensor([99.1597], device='cuda:1'),tensor([54.7170], device='cuda:1')
38,0.017293135939555306,3.5504707840253724,tensor([98.9496], device='cuda:1'),tensor([58.4906], device='cuda:1')
39,0.12732654271420862,2.069553168314808,tensor([97.4790], device='cuda:1'),tensor([59.4340], device='cuda:1')
40,0.07924339878020667,1.4559576151505955,tensor([97.8992], device='cuda:1'),tensor([53.7736], device='cuda:1')
41,0.024533404165511058,2.409163924882997,tensor([99.3698], device='cuda:1'),tensor([55.6604], device='cuda:1')
42,0.012358061693221851,2.918469743908576,tensor([99.7899], device='cuda:1'),tensor([55.6604], device='cuda:1')
43,0.06860029312052315,4.011412170698058,tensor([99.3698], device='cuda:1'),tensor([55.6604], device='cuda:1')
44,0.08771777169242356,3.6454780416668586,tensor([99.3698], device='cuda:1'),tensor([54.7170], device='cuda:1')
45,0.05166032228112845,3.7359762551649562,tensor([98.7395], device='cuda:1'),tensor([59.4340], device='cuda:1')
46,0.04559429440776497,2.691363370643472,tensor([98.5294], device='cuda:1'),tensor([54.7170], device='cuda:1')
47,0.005578815638177691,2.6013175226607412,tensor([100.0000], device='cuda:1'),tensor([55.6604], device='cuda:1')
48,0.0023684956121687415,3.7156337252203024,tensor([100.0000], device='cuda:1'),tensor([53.7736], device='cuda:1')
49,0.0011547308421533304,3.9406551505034826,tensor([100.0000], device='cuda:1'),tensor([57.5472], device='cuda:1')
50,0.00014282214716568437,3.7312798859938137,tensor([100.0000], device='cuda:1'),tensor([58.4906], device='cuda:1')
51,0.00017614788008672383,4.0357111534982355,tensor([100.0000], device='cuda:1'),tensor([56.6038], device='cuda:1')
52,0.009393499194308841,6.456229461813873,tensor([99.7899], device='cuda:1'),tensor([55.6604], device='cuda:1')
53,0.10463384722463176,2.7964649740255103,tensor([97.2689], device='cuda:1'),tensor([51.8868], device='cuda:1')
54,0.014880230003662658,3.8914945080595196,tensor([99.7899], device='cuda:1'),tensor([53.7736], device='cuda:1')
55,0.005784007665238851,3.403379557267675,tensor([99.7899], device='cuda:1'),tensor([50.9434], device='cuda:1')
56,0.0006681818894237551,3.732785116951421,tensor([100.0000], device='cuda:1'),tensor([51.8868], device='cuda:1')
57,0.0035343815316884824,5.033919424380896,tensor([99.7899], device='cuda:1'),tensor([55.6604], device='cuda:1')
58,0.045950866781870464,10.415344958035451,tensor([98.9496], device='cuda:1'),tensor([58.4906], device='cuda:1')
59,0.1319751395773487,6.116486873266832,tensor([96.4286], device='cuda:1'),tensor([54.7170], device='cuda:1')
60,0.07893614684615065,3.8852124124203087,tensor([97.0588], device='cuda:1'),tensor([57.5472], device='cuda:1')
61,0.05893504442040566,2.2599004619526415,tensor([98.3193], device='cuda:1'),tensor([56.6038], device='cuda:1')
62,0.005768863602528302,3.474517192480699,tensor([99.7899], device='cuda:1'),tensor([58.4906], device='cuda:1')
63,0.018538203650280617,3.2847012933695092,tensor([99.3698], device='cuda:1'),tensor([53.7736], device='cuda:1')
64,0.009089877332570256,2.9776665579597905,tensor([99.5798], device='cuda:1'),tensor([56.6038], device='cuda:1')
