model_13_5,train_losses,test_losses,train_accuracies,test_accuracies
1,0.7013950070495125,0.7290483926023755,tensor([52.6205], device='cuda:1'),tensor([49.5238], device='cuda:1')
2,0.6895463387921171,0.7738564286913191,tensor([54.0880], device='cuda:1'),tensor([52.3810], device='cuda:1')
3,0.6792508813570131,0.7044901535624549,tensor([56.3941], device='cuda:1'),tensor([54.2857], device='cuda:1')
4,0.6740286355248537,0.7558553321020943,tensor([59.9581], device='cuda:1'),tensor([51.4286], device='cuda:1')
5,0.6266327966434151,0.8192711972054981,tensor([68.5535], device='cuda:1'),tensor([55.2381], device='cuda:1')
6,0.5699629191332644,0.934944874899728,tensor([70.2306], device='cuda:1'),tensor([56.1905], device='cuda:1')
7,0.502640982094051,0.7882503242719741,tensor([77.3585], device='cuda:1'),tensor([60.0000], device='cuda:1')
8,0.489101724304743,0.7064331571261088,tensor([77.1488], device='cuda:1'),tensor([53.3333], device='cuda:1')
9,0.4474458637602424,0.9416201682317824,tensor([80.7128], device='cuda:1'),tensor([55.2381], device='cuda:1')
10,0.38449217313490575,2.305358904883975,tensor([81.9706], device='cuda:1'),tensor([61.9048], device='cuda:1')
11,0.3262301600329281,1.1377655494780767,tensor([84.2767], device='cuda:1'),tensor([53.3333], device='cuda:1')
12,0.2713811204493421,1.1179305201485044,tensor([88.0503], device='cuda:1'),tensor([56.1905], device='cuda:1')
13,0.25509787692963704,1.5691872568357559,tensor([87.8407], device='cuda:1'),tensor([52.3810], device='cuda:1')
14,0.14129782554769665,2.3101326706863583,tensor([94.9686], device='cuda:1'),tensor([59.0476], device='cuda:1')
15,0.19682989780258084,1.2810061647778466,tensor([92.2432], device='cuda:1'),tensor([50.4762], device='cuda:1')
16,0.15925252065843506,1.1640090794790359,tensor([94.7589], device='cuda:1'),tensor([67.6190], device='cuda:1')
17,0.09252115689702253,2.3611571629842123,tensor([97.0650], device='cuda:1'),tensor([56.1905], device='cuda:1')
18,0.15826164563996736,1.3619809332348052,tensor([95.5975], device='cuda:1'),tensor([59.0476], device='cuda:1')
19,0.17396271628653728,1.422744966120947,tensor([94.9686], device='cuda:1'),tensor([58.0952], device='cuda:1')
20,0.08887550483537796,1.318371794337318,tensor([96.6457], device='cuda:1'),tensor([60.0000], device='cuda:1')
21,0.1551957998260762,1.479317763873509,tensor([97.4843], device='cuda:1'),tensor([56.1905], device='cuda:1')
22,0.07758121127633678,1.8325673330397834,tensor([97.6939], device='cuda:1'),tensor([62.8571], device='cuda:1')
23,0.02448170653747422,1.5472158625012353,tensor([99.3711], device='cuda:1'),tensor([64.7619], device='cuda:1')
24,0.013194668751290025,1.7673926648639497,tensor([99.3711], device='cuda:1'),tensor([65.7143], device='cuda:1')
25,0.009662211106541474,1.8693711235409691,tensor([99.5807], device='cuda:1'),tensor([62.8571], device='cuda:1')
26,0.0029390802538848287,2.0610421612149192,tensor([99.7904], device='cuda:1'),tensor([57.1429], device='cuda:1')
27,0.030539197307880538,1.9444915249234154,tensor([99.7904], device='cuda:1'),tensor([60.0000], device='cuda:1')
28,0.006883283598696036,1.9450265237263271,tensor([99.7904], device='cuda:1'),tensor([59.0476], device='cuda:1')
29,0.023512892389916024,3.150913295291719,tensor([99.1614], device='cuda:1'),tensor([56.1905], device='cuda:1')
30,0.08382265276785167,2.046524528662364,tensor([97.6939], device='cuda:1'),tensor([61.9048], device='cuda:1')
31,0.06771641910497658,4.107682760556539,tensor([97.9036], device='cuda:1'),tensor([58.0952], device='cuda:1')
32,0.20958344994423142,1.0093054743040175,tensor([95.3878], device='cuda:1'),tensor([56.1905], device='cuda:1')
33,0.15700140948440544,0.9353544575827463,tensor([95.3878], device='cuda:1'),tensor([60.0000], device='cuda:1')
34,0.04659724858075974,1.6987739211037045,tensor([98.7421], device='cuda:1'),tensor([58.0952], device='cuda:1')
35,0.12574144308523624,1.5922382093611218,tensor([95.3878], device='cuda:1'),tensor([57.1429], device='cuda:1')
36,0.059639583968516416,1.588505878902617,tensor([98.1132], device='cuda:1'),tensor([52.3810], device='cuda:1')
37,0.019094634380638676,2.0203378359476725,tensor([99.7904], device='cuda:1'),tensor([59.0476], device='cuda:1')
38,0.013320264973935418,2.250069690885998,tensor([99.7904], device='cuda:1'),tensor([59.0476], device='cuda:1')
39,0.0015021714899763152,2.7202909492311025,tensor([100.], device='cuda:1'),tensor([60.0000], device='cuda:1')
40,0.10051745441274566,2.7254397891816637,tensor([98.5325], device='cuda:1'),tensor([60.0000], device='cuda:1')
41,0.00019016656542139313,2.6823360602060955,tensor([100.], device='cuda:1'),tensor([60.0000], device='cuda:1')
42,0.00018955386118742245,2.7348076161884127,tensor([100.], device='cuda:1'),tensor([59.0476], device='cuda:1')
43,0.0006355942924477309,2.974378715242658,tensor([100.], device='cuda:1'),tensor([60.0000], device='cuda:1')
44,0.008573322125114559,4.7578257515316915,tensor([99.7904], device='cuda:1'),tensor([58.0952], device='cuda:1')
45,0.05777786273667413,3.816267002196539,tensor([98.5325], device='cuda:1'),tensor([56.1905], device='cuda:1')
46,0.00902389828799062,3.0426233541397822,tensor([99.7904], device='cuda:1'),tensor([61.9048], device='cuda:1')
47,0.017660965281245798,1.964520651953561,tensor([99.7904], device='cuda:1'),tensor([60.9524], device='cuda:1')
48,0.000876164585117649,2.6035206363314676,tensor([100.], device='cuda:1'),tensor([60.0000], device='cuda:1')
49,0.0006788349711177085,2.989654186793736,tensor([100.], device='cuda:1'),tensor([60.0000], device='cuda:1')
50,0.05020768070183216,4.459464381422316,tensor([98.7421], device='cuda:1'),tensor([55.2381], device='cuda:1')
51,0.008576578100161155,2.7784130732218424,tensor([100.], device='cuda:1'),tensor([59.0476], device='cuda:1')
52,0.01647545601643009,3.403797522045317,tensor([99.1614], device='cuda:1'),tensor([55.2381], device='cuda:1')
53,0.07809754005660507,3.093058634939648,tensor([97.6939], device='cuda:1'),tensor([59.0476], device='cuda:1')
54,0.05814823884989449,2.408131422315325,tensor([98.1132], device='cuda:1'),tensor([60.0000], device='cuda:1')
55,0.01191085283263768,2.291703394481114,tensor([99.7904], device='cuda:1'),tensor([62.8571], device='cuda:1')
56,0.008119295283847448,3.8001215071905228,tensor([99.5807], device='cuda:1'),tensor([52.3810], device='cuda:1')
57,0.024456875284536266,2.674113381476629,tensor([99.5807], device='cuda:1'),tensor([53.3333], device='cuda:1')
58,0.02665559880399346,4.1813536053612115,tensor([99.1614], device='cuda:1'),tensor([47.6190], device='cuda:1')
59,0.0388926291653781,2.0446027437845866,tensor([98.9518], device='cuda:1'),tensor([56.1905], device='cuda:1')
60,0.0304117020102661,3.28175235021682,tensor([99.3711], device='cuda:1'),tensor([55.2381], device='cuda:1')
61,0.015053063731853396,2.136793041229248,tensor([99.7904], device='cuda:1'),tensor([58.0952], device='cuda:1')
62,0.01627995404877321,2.8426134166263397,tensor([99.3711], device='cuda:1'),tensor([56.1905], device='cuda:1')
63,0.0961348634604677,2.127578440166655,tensor([98.3228], device='cuda:1'),tensor([54.2857], device='cuda:1')
64,0.0068803532312470125,4.1347151960645405,tensor([100.], device='cuda:1'),tensor([56.1905], device='cuda:1')
65,0.0014340974895544194,4.939639563787551,tensor([100.], device='cuda:1'),tensor([57.1429], device='cuda:1')
66,0.1320219671045873,2.668204857054211,tensor([96.4361], device='cuda:1'),tensor([54.2857], device='cuda:1')
67,0.12200869973436529,3.253172901982353,tensor([95.5975], device='cuda:1'),tensor([61.9048], device='cuda:1')
68,0.06339949934276708,2.6599393958137147,tensor([97.9036], device='cuda:1'),tensor([52.3810], device='cuda:1')
69,0.0020815125783157106,3.208075001126244,tensor([100.], device='cuda:1'),tensor([50.4762], device='cuda:1')
70,0.0006340284708511979,3.754932939438593,tensor([100.], device='cuda:1'),tensor([51.4286], device='cuda:1')
71,0.0002801010262638924,3.8057748295011975,tensor([100.], device='cuda:1'),tensor([51.4286], device='cuda:1')
72,0.0006508773281356121,4.179953856695266,tensor([100.], device='cuda:1'),tensor([53.3333], device='cuda:1')
73,7.098036550444969e-05,4.175066784449986,tensor([100.], device='cuda:1'),tensor([53.3333], device='cuda:1')
74,0.0005291264087741021,4.448125680287679,tensor([100.], device='cuda:1'),tensor([53.3333], device='cuda:1')
75,0.004838857102641712,4.7456173351832796,tensor([99.7904], device='cuda:1'),tensor([54.2857], device='cuda:1')
