Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
3,9665,64,60,0.000692964,0.488614624,76.48301086,0.63709134,65.9765625,35,41,21,18,0.613830965,0.647587218,0.623780012,0.7018809,0.658265758,0.674501585,0.652926488,0.305649686,0.652926488,0.310634141
1,2205,64,60,0.0015032,0.513037816,74.65232773,0.63311242,64.89409866,36,39,23,17,0.607341147,0.663482015,0.614072985,0.715069565,0.620935196,0.642566251,0.642208605,0.284138235,0.642208605,0.301620397
5,382,32,55,0.0012654,0.5026001,76.59998322,0.636074881,64.28249969,32,42,19,21,0.626750261,0.596280153,0.601626455,0.66581859,0.685645158,0.669287621,0.640962655,0.280856538,0.640962655,0.287025601
2,6141,64,30,0.000453129,0.482661304,76.22165222,0.646514919,63.75078964,36,38,24,17,0.597646485,0.667111782,0.625816958,0.685297563,0.604797914,0.633409597,0.635954848,0.27080607,0.635954848,0.2771015
4,6246,32,35,0.002854093,0.502616419,75.14208679,0.632077983,62.98206482,32,41,21,21,0.615949976,0.590280038,0.593019445,0.655761145,0.670895815,0.656652765,0.630587926,0.258829523,0.630587926,0.266220164
