Model,Seed,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
13,1167,16,75,3,0.000777799,0.573294527,69.31647797,0.689798597,61.12428513,27,44,18,26,0.602283177,0.487305649,0.520279647,0.620839217,0.707258373,0.651704287,0.597282011,0.197667761,0.597282011,0.207442613
12,6163,16,30,4,0.000112051,0.520036048,72.1689743,0.696250018,60.70406036,29,41,21,24,0.619211152,0.53371011,0.542348038,0.595412132,0.652536388,0.607969558,0.593123249,0.189965631,0.593123249,0.197406653
7,8289,16,40,4,0.000442334,0.601339203,62.54521179,0.676743563,59.88991776,19,50,12,34,0.385412475,0.337872489,0.349057776,0.599944741,0.796761921,0.668892493,0.567317205,0.134342464,0.567317205,0.143531566
9,5576,16,65,3,0.000204667,0.594493317,65.31747437,0.713443442,58.17917786,18,49,13,35,0.34455432,0.329831294,0.335321702,0.59022724,0.781333116,0.658604158,0.555582205,0.112102002,0.555582205,0.112791875
2,4222,8,55,3,0.002199402,0.650606399,58.86382675,0.662885359,58.25559082,14,53,8,39,0.244849985,0.258799314,0.251463891,0.589085458,0.843253468,0.67677393,0.551026391,0.101680897,0.551026391,0.102052782
10,7317,16,15,1,0.000213148,0.676727057,58.13950577,0.676684054,57.11257706,14,52,10,39,0.341968254,0.256639884,0.290444802,0.574760115,0.835810214,0.672665034,0.546225049,0.093985849,0.546225049,0.096803226
15,2489,4,30,4,0.000195671,0.666029561,58.0526886,0.677472705,54.49866791,31,31,31,22,0.499433552,0.587764172,0.517472107,0.475899992,0.476537233,0.467971931,0.532150702,0.064525503,0.532150702,0.069149481
14,9566,8,65,1,0.000431379,0.679937374,55.78052521,0.680010101,54.67665939,11,52,10,42,0.224281742,0.214630917,0.200637845,0.54639288,0.817307692,0.623350543,0.515969305,0.034583999,0.515969305,0.040124021
8,5868,8,15,4,0.001451748,0.697108641,53.27288589,0.68288349,54.17630768,3,59,2,50,0.109677419,0.075555556,0.089473684,0.546341687,0.954098361,0.689371249,0.514826958,0.030915306,0.514826958,0.032221203
6,9711,8,30,1,0.000494475,0.696135065,52.93029404,0.686691815,55.26160278,14,50,12,39,0.213146853,0.256795651,0.229998661,0.560335498,0.773402868,0.620635709,0.51509926,0.030289776,0.51509926,0.033105328
1,2068,16,60,1,0.003645572,4.71766072,52.71438141,0.689302408,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
3,7276,16,60,2,0.046170084,0.694105649,52.80777435,0.687833042,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
4,931,16,30,2,0.017542738,0.69116824,53.76726761,0.68911295,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
5,1288,4,70,2,0.002707379,0.739686444,52.10637894,0.687524769,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
11,4820,8,60,3,0.042072624,0.698046968,51.87360611,0.687784653,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
16,2954,8,55,3,0.008174182,1.090750734,52.31423416,0.688060842,53.80074692,10,52,10,43,0.100952381,0.2,0.134177215,0.437055075,0.8,0.564759663,0.5,0,0.5,0
