model_66_3,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6943994177257554,0.6915604472160339,tensor([49.3562], device='cuda:3'),tensor([52.5862], device='cuda:3')
2,0.6885983677892726,0.6944401675257189,tensor([54.0773], device='cuda:3'),tensor([52.5862], device='cuda:3')
3,0.6875366021123567,0.6940852691387308,tensor([54.0773], device='cuda:3'),tensor([52.5862], device='cuda:3')
4,0.672329528393152,0.688666045665741,tensor([54.0773], device='cuda:3'),tensor([52.5862], device='cuda:3')
5,0.6544484002395761,0.6913488795017374,tensor([63.9485], device='cuda:3'),tensor([61.2069], device='cuda:3')
6,0.6270357181074282,0.7355360697055685,tensor([68.8841], device='cuda:3'),tensor([47.4138], device='cuda:3')
7,0.5941225676577491,0.7529165025415092,tensor([72.1030], device='cuda:3'),tensor([53.4483], device='cuda:3')
8,0.5880387356352909,0.6989241098535472,tensor([70.8155], device='cuda:3'),tensor([61.2069], device='cuda:3')
9,0.5821190311417559,0.6815957940857986,tensor([72.7468], device='cuda:3'),tensor([60.3448], device='cuda:3')
10,0.5562695906909239,0.7302082530383406,tensor([74.4635], device='cuda:3'),tensor([55.1724], device='cuda:3')
11,0.5250630080699921,0.7340540783158664,tensor([77.0386], device='cuda:3'),tensor([60.3448], device='cuda:3')
12,0.5188733960937533,0.6283412493508438,tensor([77.2532], device='cuda:3'),tensor([68.1034], device='cuda:3')
13,0.48070865255568673,0.7255881490378544,tensor([79.8283], device='cuda:3'),tensor([59.4828], device='cuda:3')
14,0.47099847023579183,0.786166172603081,tensor([80.4721], device='cuda:3'),tensor([53.4483], device='cuda:3')
15,0.4380400652153809,0.7378671230940983,tensor([81.9743], device='cuda:3'),tensor([59.4828], device='cuda:3')
16,0.3961078057729123,0.8089335375818713,tensor([84.9785], device='cuda:3'),tensor([56.0345], device='cuda:3')
17,0.37330964680904993,0.7022026633394176,tensor([86.6953], device='cuda:3'),tensor([64.6552], device='cuda:3')
18,0.366000691708577,0.7036594810156986,tensor([87.1245], device='cuda:3'),tensor([62.9310], device='cuda:3')
19,0.3579815117074696,0.6985529661178589,tensor([87.3391], device='cuda:3'),tensor([68.1034], device='cuda:3')
20,0.3506729089906799,0.8014074111806935,tensor([87.9828], device='cuda:3'),tensor([60.3448], device='cuda:3')
21,0.3247132573772398,0.845965915712817,tensor([88.8412], device='cuda:3'),tensor([57.7586], device='cuda:3')
22,0.3302332387973311,0.7712114329995781,tensor([89.0558], device='cuda:3'),tensor([62.9310], device='cuda:3')
23,0.31932799703573467,0.7708551328757713,tensor([89.6996], device='cuda:3'),tensor([62.0690], device='cuda:3')
24,0.3158013738787737,0.7636581227697176,tensor([89.9142], device='cuda:3'),tensor([64.6552], device='cuda:3')
25,0.2962370948794062,0.7777112989590086,tensor([90.7725], device='cuda:3'),tensor([65.5172], device='cuda:3')
