model_61_3,train_losses,test_losses,train_accuracies,test_accuracies
1,0.7288464016157159,0.7176939249038696,tensor([45.9227], device='cuda:2'),tensor([47.4138], device='cuda:2')
2,0.7195682720053349,0.7141196296132845,tensor([45.9227], device='cuda:2'),tensor([47.4138], device='cuda:2')
3,0.7121096135720675,0.7112305051293867,tensor([45.9227], device='cuda:2'),tensor([47.4138], device='cuda:2')
4,0.703460098336183,0.7172592898895,tensor([45.9227], device='cuda:2'),tensor([47.4138], device='cuda:2')
5,0.694786427358701,0.6910758511773472,tensor([45.9227], device='cuda:2'),tensor([47.4138], device='cuda:2')
6,0.6767847988226895,0.7009462755301903,tensor([53.6481], device='cuda:2'),tensor([47.4138], device='cuda:2')
7,0.6519733250396957,0.6661627652316258,tensor([70.6009], device='cuda:2'),tensor([61.2069], device='cuda:2')
8,0.6308520055124176,0.7026309401824556,tensor([72.7468], device='cuda:2'),tensor([54.3103], device='cuda:2')
9,0.6218743587768129,0.6486661228640326,tensor([71.6738], device='cuda:2'),tensor([67.2414], device='cuda:2')
10,0.5974632202299879,0.6708844725427956,tensor([73.3906], device='cuda:2'),tensor([58.6207], device='cuda:2')
11,0.5721366203394059,0.7148644749460549,tensor([77.2532], device='cuda:2'),tensor([49.1379], device='cuda:2')
12,0.5342214052513433,0.7065137342132372,tensor([80.4721], device='cuda:2'),tensor([54.3103], device='cuda:2')
13,0.5597381300169,0.6703763013256008,tensor([75.7511], device='cuda:2'),tensor([61.2069], device='cuda:2')
14,0.512659431271287,0.6646092873195122,tensor([80.6867], device='cuda:2'),tensor([58.6207], device='cuda:2')
15,0.5061285216920878,0.666663419069915,tensor([81.7597], device='cuda:2'),tensor([60.3448], device='cuda:2')
16,0.4841748603935405,0.6780769228935242,tensor([83.0472], device='cuda:2'),tensor([58.6207], device='cuda:2')
17,0.4549605453730653,0.6093370965842543,tensor([85.8369], device='cuda:2'),tensor([72.4138], device='cuda:2')
18,0.43981624762387744,0.6624048393348168,tensor([87.3391], device='cuda:2'),tensor([62.0690], device='cuda:2')
19,0.4198674637616448,0.6342351796298191,tensor([88.6266], device='cuda:2'),tensor([63.7931], device='cuda:2')
20,0.4105372774242843,0.6416805258084988,tensor([90.5579], device='cuda:2'),tensor([62.9310], device='cuda:2')
21,0.4056482251109995,0.6520803503949066,tensor([90.5579], device='cuda:2'),tensor([59.4828], device='cuda:2')
22,0.41386403699801205,0.7394902361878033,tensor([89.0558], device='cuda:2'),tensor([53.4483], device='cuda:2')
23,0.3949138266334206,0.6902064007931742,tensor([90.9871], device='cuda:2'),tensor([54.3103], device='cuda:2')
24,0.38599585079839815,0.7078755415719131,tensor([91.6309], device='cuda:2'),tensor([56.0345], device='cuda:2')
25,0.3858258611654519,0.7045857063655195,tensor([91.4163], device='cuda:2'),tensor([56.0345], device='cuda:2')
26,0.38210691351747306,0.766554014949963,tensor([92.0601], device='cuda:2'),tensor([50.8621], device='cuda:2')
27,0.37785847286809665,0.6813598799294439,tensor([91.6309], device='cuda:2'),tensor([56.0345], device='cuda:2')
28,0.37162697072192835,0.7453775652523699,tensor([92.4893], device='cuda:2'),tensor([53.4483], device='cuda:2')
29,0.3688756817144386,0.7409671396017075,tensor([92.2747], device='cuda:2'),tensor([53.4483], device='cuda:2')
30,0.3648628986444596,0.7856524144781047,tensor([92.9185], device='cuda:2'),tensor([49.1379], device='cuda:2')
31,0.36479406640764983,0.7556271779126135,tensor([92.2747], device='cuda:2'),tensor([53.4483], device='cuda:2')
32,0.3562335215924635,0.7347643560376661,tensor([93.5622], device='cuda:2'),tensor([53.4483], device='cuda:2')
33,0.3564884857046758,0.6319871447209654,tensor([93.5622], device='cuda:2'),tensor([67.2414], device='cuda:2')
34,0.35597801553844893,0.7068426331569408,tensor([93.3476], device='cuda:2'),tensor([56.8966], device='cuda:2')
35,0.35312417008846103,0.6264424966327076,tensor([93.7768], device='cuda:2'),tensor([68.1034], device='cuda:2')
36,0.3571810470374357,0.698692319208178,tensor([92.9185], device='cuda:2'),tensor([57.7586], device='cuda:2')
37,0.3566183105047169,0.7010915392431719,tensor([93.5622], device='cuda:2'),tensor([57.7586], device='cuda:2')
38,0.35336940623659946,0.744066713185146,tensor([93.5622], device='cuda:2'),tensor([54.3103], device='cuda:2')
39,0.35222601302191936,0.7306919252050335,tensor([93.5622], device='cuda:2'),tensor([53.4483], device='cuda:2')
40,0.353211667276759,0.6743738157995816,tensor([93.5622], device='cuda:2'),tensor([59.4828], device='cuda:2')
