Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
19,8323,32,70,0.000290078,0.017615892,71.6,0.021209185,68.6,32,47,15,21,0.688570284,0.605283604,0.641571488,0.692730838,0.76557906,0.72554798,0.685431332,0.371074957,0.685431332,0.375997313
1,8413,8,120,0.003412699,0.082120944,64.2,0.083195909,67.6,36,43,19,17,0.674779971,0.682344771,0.667756571,0.708076795,0.687944995,0.686604027,0.685144883,0.368699478,0.685144883,0.376455113
53,3351,256,245,0.000261129,0.002354505,72.4,0.005336123,68.4,32,47,14,21,0.689370629,0.598101908,0.636492065,0.690560213,0.769724763,0.725229744,0.683913336,0.3674314,0.683913336,0.373775268
13,3689,24,65,0.003421397,0.025225968,68.8,0.028155775,68.4,35,44,18,18,0.659997409,0.654269604,0.652124786,0.712407909,0.713432043,0.709292767,0.683850824,0.365929364,0.683850824,0.369982739
54,3432,56,215,0.000325578,0.010112921,73.2,0.013274765,68.4,31,48,14,22,0.686514723,0.581355473,0.62670059,0.688183926,0.779958803,0.729581645,0.680657138,0.362684632,0.680657138,0.367854847
80,6197,256,140,0.001815685,0.002384524,71.2,0.005335397,68.4,30,49,13,23,0.700215475,0.565231444,0.624835849,0.678853709,0.793248552,0.730993614,0.679239998,0.361397868,0.679239998,0.368619536
37,3039,256,150,0.00054368,0.002417882,70.2,0.005287463,68,31,49,13,22,0.69201815,0.576341858,0.626129703,0.684131754,0.783301344,0.72860221,0.679821601,0.361335012,0.679821601,0.367741002
56,2549,8,245,0.000111293,0.070084825,71.2,0.080471004,68,33,45,16,20,0.674556465,0.628066394,0.648001257,0.692305527,0.732711704,0.710191367,0.680389049,0.360587049,0.680389049,0.363778416
50,9204,48,240,0.00036674,0.01140513,73.2,0.015350351,68,33,46,16,20,0.677809392,0.614439053,0.641914904,0.690898849,0.745158912,0.715191156,0.679798982,0.360183855,0.679798982,0.364089468
77,5197,128,165,0.000329425,0.004639169,72.8,0.006081011,68,33,46,16,20,0.681739495,0.614024356,0.642127732,0.690346535,0.745884808,0.714462644,0.679954582,0.35991601,0.679954582,0.365874056
23,3381,40,60,0.000739413,0.014069309,70.8,0.017055456,67.8,32,47,15,21,0.681656371,0.604406783,0.638873275,0.686399837,0.753337519,0.717074195,0.678872151,0.35880094,0.678872151,0.362835759
29,1327,256,55,0.012659384,0.002364128,72,0.005555523,68.2,32,47,15,21,0.678947511,0.604450034,0.635793993,0.691296814,0.749433016,0.716976349,0.676941525,0.35700318,0.676941525,0.361858036
22,6686,256,210,0.046535567,0.002054068,75.8,0.005705048,67.6,34,44,17,19,0.660294306,0.639550274,0.649348556,0.696736704,0.715650715,0.705719256,0.677600494,0.355496039,0.677600494,0.356113374
45,6871,40,205,0.002232551,0.014107606,71.8,0.017369465,67.8,35,44,18,18,0.665986906,0.651345345,0.653084136,0.70252661,0.701588475,0.695552652,0.67646691,0.354833368,0.67646691,0.360561896
5,8966,128,210,0.005450943,0.004472175,73.2,0.006019487,67.4,36,42,20,17,0.651599375,0.670061781,0.656910839,0.710059983,0.684925513,0.692850252,0.677493647,0.35410357,0.677493647,0.35825571
14,7600,40,110,0.001099231,0.014758073,68.2,0.01674815,67.8,34,45,17,19,0.676619048,0.630570495,0.645031831,0.692749182,0.721909238,0.700103976,0.676239867,0.353219469,0.676239867,0.360722487
67,5020,256,245,0.000130735,0.002422642,71.4,0.0054215,67.4,31,48,14,22,0.690474255,0.58024602,0.624434018,0.679443432,0.771591094,0.718791464,0.675918557,0.35142363,0.675918557,0.360637288
31,2602,64,20,0.02600145,0.00919503,73,0.012555076,67.4,32,46,16,21,0.665123605,0.610125608,0.630815018,0.693620575,0.739562378,0.712431088,0.674843993,0.35083711,0.674843993,0.354082756
58,8481,256,40,0.00049142,0.002409871,71.6,0.00535108,67.8,32,47,15,21,0.684064595,0.589714478,0.629941839,0.680516483,0.759297454,0.715695492,0.674505966,0.350528199,0.674505966,0.35663553
73,2898,256,245,0.000142714,0.00240985,71.2,0.005365968,67.4,31,48,14,22,0.680975141,0.580097163,0.624221258,0.680686662,0.768788339,0.720623612,0.674442751,0.35025477,0.674442751,0.355161474
48,9528,16,170,0.001089444,0.036823859,69,0.041388385,67.4,36,42,19,17,0.652790792,0.667118522,0.655472905,0.704637771,0.683977333,0.688878952,0.675547928,0.349936989,0.675547928,0.35418021
26,6854,256,75,0.018327352,0.002140057,75,0.005681111,67.8,31,48,14,22,0.687788658,0.581159815,0.625791894,0.680640528,0.763501453,0.718387816,0.672330634,0.349079665,0.672330634,0.355947111
62,4292,32,225,0.000597507,0.016665618,73.8,0.021824969,67.2,33,45,17,20,0.664104204,0.623238148,0.640614977,0.689319212,0.725779169,0.705340897,0.674508659,0.347937505,0.674508659,0.35118723
39,348,24,155,0.000640975,0.023022349,72.4,0.027097876,67.2,34,44,17,19,0.66598544,0.631377808,0.645225529,0.68844335,0.716874666,0.700227054,0.674126237,0.3476915,0.674126237,0.351294358
25,9214,56,200,0.000175685,0.010176198,71.6,0.01321952,67.6,31,48,14,22,0.676368822,0.573759081,0.615919639,0.684526193,0.773090121,0.723081082,0.673424601,0.347155053,0.673424601,0.353705976
51,6218,32,95,0.001380901,0.017206921,72.4,0.021509733,67,33,45,17,20,0.664779836,0.621998117,0.639697088,0.687188173,0.725000481,0.703517824,0.673499299,0.345734714,0.673499299,0.349434774
69,2759,256,160,0.000563098,0.002418786,70.2,0.005353525,67.4,31,48,14,22,0.673204365,0.574253127,0.612606081,0.685447106,0.771668359,0.721998253,0.672960743,0.345017325,0.672960743,0.352030881
79,1010,48,60,0.001265144,0.011517761,72.6,0.015350743,67.4,32,46,16,21,0.669970406,0.604681226,0.633633486,0.682578987,0.739269081,0.708417852,0.671975153,0.344578768,0.671975153,0.348194227
7,3403,32,220,0.050899059,0.017167353,74,0.025566491,67.2,32,46,16,21,0.674419959,0.602206829,0.631053052,0.684616145,0.74070121,0.70834104,0.671454019,0.343891695,0.671454019,0.350769678
63,9579,48,120,0.000100286,0.011496006,73,0.015344881,67.4,30,48,14,23,0.681252095,0.566741279,0.617316972,0.675235328,0.77444413,0.720635153,0.670592704,0.343489233,0.670592704,0.348697136
30,8984,256,130,0.090944433,0.002048134,76.8,0.005735665,67.2,33,45,17,20,0.656836018,0.617946703,0.636422358,0.688822625,0.723016757,0.705252569,0.67048173,0.342420475,0.67048173,0.343293611
9,9631,48,180,0.000119962,0.011637016,72.4,0.015363513,67.2,32,46,16,21,0.668441734,0.598138468,0.62974581,0.680952381,0.743548742,0.709748128,0.670843605,0.342165472,0.670843605,0.345496888
66,6255,256,245,0.000262612,0.002372747,71.6,0.00534562,67,31,47,15,22,0.674158317,0.584286424,0.621863047,0.679975007,0.757809488,0.714269711,0.671047956,0.341928834,0.671047956,0.347956378
40,7429,16,135,0.005004912,0.038441413,66,0.041529899,67.6,30,49,13,23,0.689601802,0.560680578,0.615407188,0.673442243,0.774702588,0.71987884,0.667691583,0.341106842,0.667691583,0.348546371
21,4039,24,175,0.000230756,0.023176929,71.8,0.026844526,67,31,47,15,22,0.673718363,0.585713877,0.623616783,0.678116974,0.754408596,0.712316033,0.670061237,0.340410271,0.670061237,0.345868574
20,6514,128,70,0.001125849,0.004725088,72.4,0.005955337,67,33,45,17,20,0.66177498,0.607055008,0.627837748,0.686747594,0.73117164,0.704893727,0.669113324,0.338473901,0.669113324,0.343227083
43,7000,56,145,0.00158231,0.009833647,73.2,0.013327695,66.8,32,46,16,21,0.661592619,0.602929128,0.628659178,0.682849813,0.73554513,0.706652884,0.669237129,0.338402116,0.669237129,0.341413808
8,8303,48,125,0.00035903,0.011333221,73,0.015203643,66.8,32,46,16,21,0.665612353,0.595114112,0.626627855,0.679226833,0.74255883,0.708222517,0.668836471,0.337802305,0.668836471,0.341212405
49,793,24,30,0.000133753,0.023979198,71,0.028082738,67,29,49,13,24,0.690239111,0.54735161,0.605820697,0.669016682,0.78844086,0.72108669,0.667896235,0.336737335,0.667896235,0.347187827
44,3606,32,235,0.006576667,0.022715203,61.8,0.022150003,66.8,31,47,15,22,0.656368133,0.580403643,0.607705857,0.688632433,0.754990382,0.715981193,0.667697012,0.336728776,0.667697012,0.339968849
60,1248,256,80,0.000160253,0.002581686,68.2,0.005474311,67.2,28,50,11,25,0.701716544,0.513794991,0.58804927,0.663777725,0.81783722,0.730228977,0.665816106,0.333311817,0.665816106,0.347936131
6,3951,256,175,0.003748739,0.002564729,66.6,0.005346488,67,30,48,14,23,0.689201066,0.561954325,0.613587766,0.669875113,0.765990393,0.712477448,0.663972359,0.333055662,0.663972359,0.342778457
35,5087,256,45,0.091231639,0.002058051,76,0.00578877,66.6,34,44,18,19,0.651890128,0.632375991,0.639105957,0.687383387,0.699410146,0.691056597,0.665893068,0.333027546,0.665893068,0.335485193
68,8178,256,250,0.000272174,0.002366508,72.2,0.005364143,66.6,29,49,13,24,0.68615353,0.541311548,0.598000827,0.668839236,0.790250497,0.720801105,0.665781023,0.332243759,0.665781023,0.342814254
36,6895,128,85,0.00856408,0.005584483,66.4,0.005963115,66.8,32,45,17,21,0.658233311,0.604063458,0.627537134,0.68046026,0.726148823,0.701035916,0.665106141,0.331260385,0.665106141,0.334373901
10,9374,40,250,0.005521801,0.018377773,60.2,0.017228094,66.4,30,47,14,23,0.655882919,0.563002975,0.598134203,0.678955026,0.764485167,0.715291992,0.663744071,0.328425211,0.663744071,0.331035785
3,2803,32,15,0.000614944,0.018015729,70.4,0.021583281,66.4,31,47,15,22,0.668585513,0.57031014,0.612960112,0.671604653,0.757476062,0.710337003,0.663893101,0.328256679,0.663893101,0.333875827
17,4425,56,230,0.003494107,0.010168238,71.2,0.013346997,66.4,31,46,16,22,0.658253335,0.580675963,0.613243888,0.678045602,0.7459376,0.708432249,0.663306782,0.32745405,0.663306782,0.331281211
71,759,64,220,0.000235865,0.009229659,71.6,0.011380834,66.4,30,47,15,23,0.671193033,0.563482284,0.607632631,0.670457971,0.763412486,0.710713679,0.663447385,0.326605738,0.663447385,0.334104129
4,248,48,225,0.001889298,0.01183724,71,0.015332856,66.2,31,46,15,22,0.663845756,0.574190052,0.614725941,0.669994489,0.749549715,0.706680441,0.661869883,0.324889837,0.661869883,0.328742546
38,1145,64,35,0.000474139,0.009304885,71,0.011550336,66.2,30,47,15,23,0.659709903,0.562751593,0.604144667,0.672198436,0.759719206,0.711226274,0.6612354,0.323031837,0.6612354,0.327103136
76,6233,256,140,0.00030237,0.002478132,70.6,0.005323096,66,30,47,14,23,0.67428101,0.553848178,0.602607005,0.666252042,0.767867837,0.710289266,0.660858008,0.321825099,0.660858008,0.330820975
52,4399,64,115,0.001802798,0.009195936,71.8,0.011531972,65.6,31,45,17,22,0.656531068,0.586973731,0.612095409,0.675240994,0.735508955,0.699057451,0.661241343,0.320919715,0.661241343,0.326987199
57,5324,40,105,0.000167761,0.013990582,72.2,0.017302291,66,31,46,16,22,0.652240694,0.580588944,0.612080085,0.674244664,0.739713649,0.703961946,0.660151296,0.320100274,0.660151296,0.323344308
12,4893,32,100,0.002532234,0.017670499,71.2,0.021723281,66,31,45,16,22,0.651125736,0.584255481,0.612960843,0.674126872,0.735381196,0.701330408,0.659818338,0.318923875,0.659818338,0.322400115
65,3256,56,125,0.000392345,0.010472744,70.4,0.013263652,66,32,45,17,21,0.65011037,0.587094162,0.612874765,0.676806132,0.73255883,0.701039874,0.659826496,0.318867168,0.659826496,0.32318264
64,493,256,100,0.000211087,0.00247583,69.6,0.00546568,65.8,30,46,16,23,0.674208568,0.568182422,0.60939209,0.666005705,0.748875008,0.701133331,0.658528715,0.318060427,0.658528715,0.328213747
18,5428,8,165,0.044153289,0.181447285,68,0.168296952,66,30,47,15,23,0.679283458,0.55519036,0.598996067,0.667593533,0.758827719,0.704996175,0.65700904,0.316640339,0.65700904,0.329470016
70,5965,256,180,0.000999679,0.002419017,71.6,0.005341334,66,30,47,15,23,0.667869944,0.556770846,0.602067197,0.665501092,0.758811155,0.706361619,0.657791,0.316407615,0.657791,0.324205203
33,7439,16,50,0.027382864,0.046750046,71,0.057374775,65.2,34,41,20,19,0.639304089,0.639596864,0.632906497,0.682086218,0.67670448,0.674209328,0.658150672,0.313452633,0.658150672,0.318798705
16,8071,48,90,0.002109347,0.011844971,71.6,0.015410493,66,28,49,13,25,0.692986234,0.524998505,0.589812841,0.655756005,0.782517099,0.711340969,0.653757802,0.312615106,0.653757802,0.326630696
47,868,128,150,0.002869264,0.005007316,68.2,0.005911334,66.2,30,47,15,23,0.654253684,0.552910608,0.584526366,0.673846003,0.758858444,0.708238114,0.655884526,0.312545638,0.655884526,0.319211689
42,9522,48,150,0.000837604,0.011430853,72.6,0.015201217,65.4,30,46,16,23,0.662473542,0.566379048,0.608071101,0.661644463,0.743601535,0.69853887,0.654990291,0.311081134,0.654990291,0.316915349
78,7848,256,150,0.000713701,0.002422546,70.4,0.00540042,65.6,31,46,16,22,0.652526858,0.573170345,0.607036389,0.666634292,0.736546797,0.697830975,0.654858571,0.309724113,0.654858571,0.314343376
55,5196,256,245,0.000206855,0.002514355,67.4,0.005209985,65.8,29,48,14,24,0.66814704,0.535860169,0.581324572,0.662912228,0.770035106,0.707121882,0.652947637,0.30730897,0.652947637,0.317620313
75,3952,40,230,0.000100053,0.014167506,71,0.017077157,65.4,30,46,16,23,0.649419269,0.559690161,0.596622706,0.667156875,0.747072531,0.702302555,0.653381346,0.306235101,0.653381346,0.311516784
61,5344,24,15,0.000203014,0.024845575,69.6,0.027917286,65.4,29,48,14,24,0.667932841,0.53505899,0.592245809,0.654702956,0.766674557,0.705139503,0.650866774,0.304201669,0.650866774,0.311948309
32,1705,8,195,0.008731321,0.083185911,67.6,0.099270444,63.4,33,41,21,20,0.624327122,0.621564821,0.602251547,0.685998458,0.66912652,0.663103643,0.645345671,0.28454801,0.645345671,0.300012052
34,164,256,10,0.001433268,0.002683978,65,0.005487097,63.6,24,50,12,29,0.695135883,0.44311464,0.508076565,0.630654877,0.797862975,0.698529474,0.620488807,0.246235727,0.620488807,0.273578604
24,3962,256,65,0.000174642,0.002739258,63.6,0.005676888,61,26,45,17,27,0.607080456,0.492469155,0.54025296,0.619298116,0.719666414,0.663757316,0.606067784,0.214499103,0.606067784,0.219084419
