Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
2,5316,16,165,0.004255105,0.037875339,67,0.041327432,70.8,33,49,12,20,0.718052507,0.611963229,0.658130389,0.706392498,0.788707173,0.744433961,0.700335201,0.406539563,0.700335201,0.41217838
27,3115,256,65,0.011267149,0.002219575,73.6,0.005477072,70.2,35,47,15,18,0.691417589,0.645134087,0.666009351,0.716044764,0.752255381,0.733033499,0.698694734,0.400623795,0.698694734,0.402328555
41,8982,8,185,0.000461724,0.072140082,68.8,0.07885853,70,34,47,14,19,0.69786922,0.631928699,0.660714775,0.709012873,0.766399481,0.735118562,0.69916409,0.398950584,0.69916409,0.402509171
15,1405,64,140,0.007787676,0.009394559,67.8,0.01180658,69.8,36,45,17,17,0.684447644,0.668849612,0.674393797,0.717800103,0.726763524,0.720023008,0.697806568,0.396254106,0.697806568,0.398907776
72,2961,16,110,0.000756123,0.035086368,71.6,0.040126271,69.6,36,45,17,17,0.684214331,0.660763187,0.66816229,0.715676282,0.731013209,0.719748621,0.695888198,0.391228177,0.695888198,0.395776409
46,5813,256,190,0.004109257,0.002292336,72.6,0.00545178,69,33,47,15,20,0.68822867,0.625757081,0.654294216,0.700478869,0.755047075,0.72581052,0.690402078,0.382111078,0.690402078,0.384718863
74,2576,8,90,0.00040268,0.06990247,72.2,0.079220837,69,35,45,16,18,0.676002326,0.647576705,0.658138456,0.711338162,0.733379251,0.719444976,0.690477978,0.380680091,0.690477978,0.384106302
11,7194,16,160,0.000103632,0.035006376,71.6,0.040514857,69,32,48,14,21,0.69716807,0.598494313,0.641219886,0.693688944,0.779624682,0.732242711,0.689059498,0.378546256,0.689059498,0.384385459
28,5745,256,175,0.015154492,0.002260663,73.6,0.005581578,69.2,34,46,15,19,0.682307467,0.634105075,0.653824981,0.707187921,0.740639654,0.721905476,0.687372365,0.378454132,0.687372365,0.38185358
59,9044,128,25,0.000886188,0.004699825,73,0.006141503,69,32,48,14,21,0.69896896,0.591556886,0.636801366,0.691653285,0.782428826,0.732037684,0.686992856,0.375034189,0.686992856,0.382087695
