Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
84,6912,2,60,40,120,0.001915797,0.017955014,58.2,0.017826858,64.6,27,49,13,26,0.654607428,0.480738287,0.514241602,0.647428467,0.783152158,0.697488569,0.631945222,0.26766775,0.631945222,0.278655152
91,8678,2,170,48,125,0.001039023,0.015782635,58.4,0.01670437,64.6,23,53,9,30,0.567388494,0.414866209,0.47639429,0.636928378,0.849419764,0.7231169,0.632142986,0.266089344,0.632142986,0.276390657
114,6126,3,120,32,185,0.007999219,0.020204866,64,0.022971845,64.2,23,52,10,30,0.56122649,0.411202303,0.474271396,0.632766686,0.842885203,0.719285521,0.627043753,0.256617051,0.627043753,0.266189066
24,6707,1,145,40,95,0.000166321,0.017518191,56.8,0.018240546,63.4,23,51,11,30,0.701642512,0.41871394,0.494197506,0.624591649,0.819466999,0.706114812,0.61909047,0.242755369,0.61909047,0.269687814
21,406,1,165,8,190,0.007972018,0.100677239,58,0.08371243,63.2,20,54,8,33,0.571556088,0.36572708,0.445062958,0.619560661,0.86901463,0.720542586,0.617370855,0.238119878,0.617370855,0.254525977
107,928,2,10,48,145,0.007672127,0.014243618,61.8,0.016626517,63.2,21,53,9,32,0.559968914,0.379112622,0.449053819,0.62203923,0.854723214,0.715910188,0.616917918,0.235912404,0.616917918,0.249708137
76,9508,4,110,64,50,0.00662794,0.011348691,57.2,0.0122774,63.4,19,55,7,34,0.594155844,0.35148104,0.435274031,0.616041678,0.874805982,0.720529728,0.613143511,0.232384599,0.613143511,0.256863615
97,72,1,55,24,160,0.001684226,0.028338213,60.2,0.029137656,63.4,22,52,10,31,0.534511494,0.402061216,0.455133818,0.629607974,0.827998643,0.711002459,0.615029929,0.232361946,0.615029929,0.238993023
46,1626,4,170,56,195,0.001565356,0.011997685,61.2,0.01366511,62.8,23,50,12,30,0.529751022,0.426303946,0.467573516,0.630702576,0.801949687,0.698426478,0.614126817,0.229638366,0.614126817,0.236585397
14,8556,1,95,64,195,0.009683294,0.009582949,69.2,0.012076523,61.8,25,47,15,28,0.612416817,0.471071287,0.528564504,0.627518817,0.754537959,0.68335207,0.612804623,0.227266596,0.612804623,0.232557457
127,574,2,115,32,45,0.00810484,0.021519229,59.2,0.023725413,62.8,22,51,10,31,0.540642601,0.395826829,0.452432496,0.623240228,0.830404119,0.706599952,0.613115474,0.227211367,0.613115474,0.237025602
65,3371,1,70,24,185,0.00076752,0.030821499,56.8,0.029526446,61.4,28,44,18,25,0.610716676,0.527764739,0.562610605,0.62844117,0.695805886,0.657905887,0.611785313,0.226219344,0.611785313,0.231198443
146,5162,1,50,256,185,0.000487778,0.002888391,59.6,0.005757641,62.6,22,51,11,31,0.538548495,0.39582487,0.454198834,0.619811564,0.824759388,0.703288829,0.610292129,0.222312416,0.610292129,0.231577043
144,3102,2,70,256,40,0.000938024,0.002930281,58.8,0.005821987,62.4,20,52,9,33,0.554639537,0.37071752,0.439336219,0.616392948,0.848822322,0.709464595,0.609769921,0.221345454,0.609769921,0.236742135
141,7789,2,55,32,185,0.007372391,0.020358116,64.4,0.023406746,62.2,21,52,10,32,0.643294692,0.386046084,0.476941914,0.614552879,0.831591147,0.705484894,0.608818615,0.220706788,0.608818615,0.236680837
115,4589,2,80,56,200,0.001407241,0.012131282,61.4,0.01412591,62.6,19,54,8,34,0.565196819,0.350934113,0.431283422,0.612535909,0.866246714,0.714833502,0.608590414,0.220266303,0.608590414,0.238704252
12,2998,2,70,24,175,0.000248562,0.029679827,55.6,0.029860033,62.4,28,44,17,25,0.516822592,0.50543243,0.492012985,0.678157747,0.7123047,0.638909957,0.608868565,0.219325353,0.608868565,0.243579615
16,8194,1,80,16,195,0.009210386,0.037728822,66.2,0.04157846,62.8,20,53,9,33,0.648557878,0.368324077,0.441733531,0.620644142,0.846410595,0.712851348,0.607367336,0.217921413,0.607367336,0.236311016
34,4675,2,90,32,65,0.001762771,0.022632856,58,0.023978509,60.6,26,45,17,27,0.618616377,0.490547397,0.540053643,0.619202843,0.725193697,0.663170627,0.607870547,0.217848351,0.607870547,0.226463149
33,1927,1,120,64,190,0.002075465,0.010989266,59,0.01216679,61.8,23,49,13,30,0.645783926,0.435975734,0.508436577,0.616596355,0.777205794,0.684561508,0.606590764,0.216764149,0.606590764,0.235187812
