Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
34,6408,1,25,24,170,0.005572374,0.024834682,69.4,0.028197956,67,32,46,16,21,0.661269918,0.594149918,0.625259922,0.681881325,0.741089779,0.709886043,0.667619849,0.337202683,0.667619849,0.339147071
9,7431,1,185,56,155,0.00139767,0.010642489,70.2,0.013829878,66.8,30,47,15,23,0.678205774,0.562805916,0.607134364,0.6724511,0.762576143,0.71188391,0.662691029,0.328737487,0.662691029,0.337174416
11,6823,1,85,64,95,0.002410515,0.010073957,67.8,0.012149577,66.2,32,45,17,21,0.651213498,0.609345946,0.628224353,0.679883077,0.716125259,0.696592742,0.662735603,0.326429753,0.662735603,0.328243333
59,2627,3,195,48,195,0.002086242,0.012407392,68.8,0.015946402,65.8,36,41,21,17,0.630768128,0.668757234,0.646343543,0.696630849,0.660382745,0.675747293,0.66456999,0.325153145,0.66456999,0.328251806
56,5534,3,195,256,195,0.001863877,0.002611125,67,0.005473986,66.2,32,45,17,21,0.646746916,0.605012561,0.624509766,0.679842061,0.717548678,0.697634546,0.66128062,0.323356848,0.66128062,0.324562963
74,2888,3,50,64,140,0.004941379,0.01014266,66.6,0.011569996,65.2,35,41,21,18,0.629897126,0.671552874,0.643832027,0.699437666,0.653410082,0.668519699,0.662481478,0.320687988,0.662481478,0.327119278
150,9933,3,50,256,175,0.002509917,0.002572663,67.6,0.005465041,65.8,32,44,17,21,0.650831977,0.603178293,0.621785368,0.676679207,0.714714557,0.692165913,0.658946425,0.31808697,0.658946425,0.322604593
70,6183,3,100,256,195,0.003988394,0.002783682,66.4,0.005451072,65.8,31,45,16,22,0.654463882,0.577499507,0.607674364,0.673500362,0.735169278,0.69847574,0.656334392,0.313454788,0.656334392,0.32016348
149,9526,3,50,256,175,0.002494919,0.002565385,68.4,0.005407664,65.2,32,44,18,21,0.647407189,0.594050896,0.614208782,0.672907375,0.718232842,0.691179892,0.656141869,0.310826728,0.656141869,0.316198986
7,6780,4,80,16,185,0.000680378,0.039761939,64.6,0.041943871,64.8,35,40,22,18,0.620269448,0.664832017,0.638981892,0.690234092,0.647620333,0.665720155,0.656226175,0.30853099,0.656226175,0.311469559
120,2759,3,105,24,115,0.005127408,0.026294783,65.4,0.028199304,64.4,37,38,24,16,0.60516329,0.690883643,0.643769532,0.698637413,0.611643779,0.650512683,0.651263711,0.299047629,0.651263711,0.303134001
133,2030,3,105,24,170,0.001105932,0.026778723,64.2,0.028422335,64.6,34,41,21,19,0.621379501,0.638695024,0.626949552,0.678283927,0.659645094,0.666075784,0.649170059,0.296407099,0.649170059,0.298995949
96,6774,1,115,56,160,0.00308064,0.011541372,66.2,0.013917007,65.2,29,47,15,24,0.657272938,0.541092456,0.574724538,0.668918897,0.752522602,0.699850082,0.646807529,0.295127478,0.646807529,0.308494497
82,6064,3,180,64,150,0.000703778,0.010553165,65.6,0.011612873,64.8,31,44,18,22,0.637718856,0.586744145,0.60126777,0.672377102,0.70804839,0.683822824,0.647396267,0.294385993,0.647396267,0.30210616
49,3447,2,165,256,130,0.004205934,0.002558695,68.2,0.005483602,65.4,29,46,16,24,0.647555212,0.551377808,0.590481718,0.661759004,0.739555218,0.695893469,0.645466513,0.293879681,0.645466513,0.299804644
50,4544,4,110,32,185,0.001442445,0.019864833,65,0.022471341,64.2,33,41,21,20,0.62538494,0.634280495,0.623327552,0.677032325,0.661389221,0.66185647,0.647834858,0.293517537,0.647834858,0.299012033
65,8452,4,105,24,50,0.001962843,0.028604288,60.2,0.028905202,64.2,33,42,20,20,0.626554512,0.613568877,0.616374197,0.672298368,0.680867442,0.673771336,0.647218159,0.293260787,0.647218159,0.29660409
54,2248,3,105,256,195,0.003382578,0.002490152,69.4,0.005359726,64.6,33,42,20,20,0.621079308,0.616725721,0.618000671,0.674613589,0.6753906,0.674303973,0.64605816,0.293176741,0.64605816,0.293887247
119,1241,3,180,256,185,0.001289791,0.002680069,65.6,0.005519657,65,32,44,18,21,0.63201385,0.588496127,0.602580813,0.674328987,0.702677774,0.683118482,0.64558695,0.293150785,0.64558695,0.298584643
77,7321,3,30,40,130,0.003296396,0.015852283,65.2,0.017488943,63.8,36,38,24,17,0.610386389,0.679788925,0.638318788,0.689532913,0.615381997,0.644651519,0.647585461,0.292122434,0.647585461,0.29749835
