Model,Seed,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
22,7274,40,80,0.009710747,0.606080279,67.42554245,0.625688262,67.51166077,42,36,26,11,0.621014383,0.788767441,0.690192481,0.770417371,0.580288168,0.652892713,0.684527805,0.360103195,0.684527805,0.379730761
20,9267,48,55,0.001940392,0.577153626,72.61513367,0.62442942,66.47187729,43,33,28,10,0.609413806,0.81381743,0.692434628,0.769649901,0.533877145,0.618620236,0.673847288,0.339537882,0.673847288,0.362305551
18,6910,48,80,0.001467735,0.567738217,72.51149139,0.622940099,66.44909515,44,33,29,9,0.6077044,0.822587377,0.693733058,0.783256247,0.525406149,0.613981833,0.673996763,0.339243551,0.673996763,0.36780834
13,5221,48,80,0.001329068,0.574849845,72.89138184,0.622065825,66.28504639,42,34,28,11,0.610298295,0.799408217,0.686410994,0.764156523,0.540453438,0.618860066,0.669930828,0.332988884,0.669930828,0.355937575
16,1834,40,25,0.001124069,0.583974918,70.39394608,0.627995096,65.72398605,39,37,25,14,0.614499631,0.743645031,0.66003604,0.746770883,0.590234681,0.642381163,0.666939856,0.325632882,0.666939856,0.346977961
17,665,40,45,0.004078701,0.586922327,70.42063904,0.623399001,65.87783813,41,35,27,12,0.607781667,0.774069675,0.672255186,0.761955483,0.552934522,0.620589873,0.663502099,0.321572312,0.663502099,0.346594013
3,3388,64,75,0.034225252,0.567157603,72.32476044,0.626838648,65.46501389,44,31,30,9,0.594534848,0.826952425,0.688562347,0.777072366,0.501256546,0.598387147,0.664104485,0.320037483,0.664104485,0.348079062
14,8988,40,80,0.001359158,0.56774862,73.11502838,0.62160367,65.37238541,42,34,28,11,0.603218469,0.785814083,0.6773442,0.747438382,0.538501988,0.613316997,0.662158035,0.316979789,0.662158035,0.336441161
1,8027,56,10,0.007840733,0.577212711,72.26569214,0.627169877,64.65232544,42,32,30,11,0.599227296,0.788443001,0.672957645,0.75128403,0.52489543,0.601612016,0.656669216,0.306567245,0.656669216,0.330400695
9,3701,64,30,0.031556734,0.574301764,70.82242126,0.627366301,64.5608757,42,32,30,11,0.596347358,0.797189052,0.674288017,0.759843562,0.518015688,0.59769839,0.65760237,0.305915907,0.65760237,0.333860046
2,5122,64,40,0.074554787,0.566969814,72.49579315,0.640631677,64.47249985,43,31,31,10,0.586494601,0.81637127,0.679504342,0.759679257,0.494368949,0.590707668,0.655370109,0.301890612,0.655370109,0.327419435
8,7076,64,30,0.000436846,0.635469668,67.49162827,0.650929317,64.64832993,39,35,26,14,0.595609912,0.738188966,0.654020779,0.731185723,0.567952102,0.629399988,0.653070534,0.299862816,0.653070534,0.316029931
5,6988,48,20,0.000556144,0.622416459,70.23322601,0.643776034,63.98789063,36,38,24,17,0.611232276,0.681509509,0.623444778,0.710722611,0.617879753,0.64168952,0.649694631,0.291242562,0.649694631,0.310011157
4,3219,56,15,0.001748685,0.575076031,71.82160492,0.636669879,63.71491318,42,31,31,11,0.58385345,0.798982286,0.668490949,0.75535646,0.49978354,0.587684209,0.649382913,0.289218315,0.649382913,0.317651919
19,2510,40,80,0.000721361,0.599568307,69.95825577,0.634632542,63.66658173,32,41,21,21,0.488109898,0.629077668,0.54653046,0.715618794,0.657739596,0.652220506,0.643408632,0.280691268,0.643408632,0.29496008
6,4185,40,15,0.037150027,0.56893108,72.25180054,0.638844659,63.65820313,40,34,28,13,0.590601359,0.748484906,0.653462093,0.72256931,0.536722327,0.599118098,0.642603617,0.27963386,0.642603617,0.297803968
7,9863,48,35,0.010736837,0.58581206,68.88570251,0.624695575,64.38066864,38,36,26,15,0.585223259,0.722725601,0.622602883,0.744874003,0.560194926,0.612819953,0.641460264,0.277671214,0.641460264,0.304705747
11,4422,48,35,0.004329883,0.589970573,68.94934616,0.631375481,63.59111023,39,34,28,14,0.578146311,0.732454445,0.635496049,0.730206814,0.54026113,0.602327718,0.636357788,0.267962435,0.636357788,0.289501815
21,9138,40,70,0.000335359,0.63320351,69.03258438,0.65492925,62.35091629,28,44,18,25,0.598643176,0.545505964,0.537870082,0.674201788,0.698537842,0.659021219,0.622021903,0.240531239,0.622021903,0.257430896
15,3488,40,60,0.000143956,0.669769592,59.36281624,0.66956023,63.13725815,29,44,18,24,0.547167294,0.524945685,0.529875593,0.656140704,0.707153002,0.675140294,0.616049343,0.22994835,0.616049343,0.220619095
10,6971,56,75,0.000251858,0.674569944,58.78359489,0.675206613,60.3832077,20,50,12,33,0.45890173,0.391342221,0.400801795,0.624346923,0.792862547,0.681008754,0.592102384,0.181796781,0.592102384,0.184231798
12,5580,48,5,0.000127336,0.698459009,47.26515198,0.692360456,50.97619629,26,33,29,27,0.358839891,0.493691633,0.404429128,0.441684408,0.496847415,0.452546875,0.495269524,-0.010636816,0.495269524,-0.012775873
