Frame number,RHip - x,RHip - y,RKnee - x,RKnee - y,RAnkle - x,RAnkle - y,LHip - x,LHip - y,LKnee - x,LKnee - y,LAnkle - x,LAnkle - y,participant,type,jump_count
1.0,-1,-1,751,516,709,798,-1,-1,918,540,918,821,P1,cmj-right,1
2.0,-1,-1,751,516,709,798,-1,-1,918,540,918,821,P1,cmj-right,1
3.0,-1,-1,751,540,709,798,-1,-1,918,563,918,821,P1,cmj-right,1
4.0,709,93,751,469,709,798,834,70,834,469,918,821,P1,cmj-right,1
5.0,709,70,751,469,709,798,834,70,834,493,918,821,P1,cmj-right,1
6.0,709,117,709,469,709,798,876,93,834,493,918,821,P1,cmj-right,1
7.0,709,117,709,493,709,798,876,93,834,516,918,821,P1,cmj-right,1
8.0,709,140,667,469,709,798,876,117,834,469,918,821,P1,cmj-right,1
9.0,751,140,667,469,709,798,918,117,793,493,918,798,P1,cmj-right,1
10.0,751,164,667,493,709,798,918,140,793,493,918,821,P1,cmj-right,1
11.0,751,164,793,493,918,821,918,164,667,469,709,798,P1,cmj-right,1
12.0,793,187,626,493,709,774,918,187,793,493,918,821,P1,cmj-right,1
13.0,793,211,751,516,918,821,918,211,626,493,709,774,P1,cmj-right,1
14.0,793,234,584,493,709,798,918,234,751,516,918,845,P1,cmj-right,1
15.0,793,258,584,516,709,798,918,258,751,540,918,845,P1,cmj-right,1
16.0,793,281,584,540,709,798,918,281,751,540,918,845,P1,cmj-right,1
17.0,793,305,584,540,709,798,918,305,751,540,918,845,P1,cmj-right,1
18.0,793,305,584,540,709,798,960,305,751,563,918,845,P1,cmj-right,1
19.0,793,328,584,540,709,798,960,328,751,563,918,845,P1,cmj-right,1
20.0,793,352,584,540,709,798,918,352,751,563,918,845,P1,cmj-right,1
21.0,793,352,584,540,709,798,918,352,751,563,918,868,P1,cmj-right,1
22.0,751,352,542,540,709,798,960,352,751,563,918,868,P1,cmj-right,1
23.0,751,352,584,540,709,798,918,352,709,563,918,868,P1,cmj-right,1
24.0,751,352,584,540,709,798,918,352,709,563,918,868,P1,cmj-right,1
25.0,793,328,584,540,709,798,918,352,709,563,918,868,P1,cmj-right,1
