Frame number,RHip - x,RHip - y,RKnee - x,RKnee - y,RAnkle - x,RAnkle - y,LHip - x,LHip - y,LKnee - x,LKnee - y,LAnkle - x,LAnkle - y,participant,type,jump_count
7.0,960.0,23.0,960.0,399.0,918.0,774.0,1168.0,46.0,1210.0,446.0,1210.0,751.0,P1,cmj-center,1
8.0,960.0,46.0,960.0,375.0,918.0,774.0,1168.0,46.0,1210.0,422.0,1252.0,751.0,P1,cmj-center,1
9.0,960.0,46.0,960.0,375.0,918.0,774.0,1168.0,46.0,1210.0,422.0,1252.0,751.0,P1,cmj-center,1
10.0,1001.0,70.0,960.0,375.0,960.0,727.0,1168.0,93.0,1210.0,446.0,1252.0,751.0,P1,cmj-center,1
11.0,960.0,93.0,960.0,422.0,918.0,751.0,1168.0,93.0,1252.0,446.0,1252.0,751.0,P1,cmj-center,1
12.0,960.0,117.0,960.0,399.0,918.0,751.0,1168.0,117.0,1252.0,422.0,1252.0,751.0,P1,cmj-center,1
13.0,960.0,117.0,918.0,422.0,918.0,751.0,1168.0,140.0,1252.0,422.0,1252.0,751.0,P1,cmj-center,1
14.0,960.0,164.0,960.0,446.0,918.0,774.0,1168.0,164.0,1252.0,446.0,1252.0,751.0,P1,cmj-center,1
15.0,960.0,187.0,960.0,469.0,918.0,774.0,1210.0,187.0,1252.0,469.0,1252.0,751.0,P1,cmj-center,1
16.0,1001.0,211.0,960.0,493.0,918.0,774.0,1210.0,234.0,1252.0,469.0,1252.0,751.0,P1,cmj-center,1
17.0,960.0,234.0,918.0,516.0,918.0,774.0,1210.0,234.0,1252.0,493.0,1252.0,774.0,P1,cmj-center,1
18.0,960.0,281.0,960.0,540.0,960.0,774.0,1210.0,281.0,1252.0,516.0,1252.0,751.0,P1,cmj-center,1
19.0,960.0,281.0,918.0,540.0,960.0,774.0,1210.0,281.0,1252.0,516.0,1252.0,774.0,P1,cmj-center,1
20.0,960.0,305.0,960.0,540.0,960.0,774.0,1210.0,305.0,1252.0,516.0,1252.0,774.0,P1,cmj-center,1
21.0,1001.0,305.0,960.0,540.0,960.0,774.0,1210.0,305.0,1293.0,516.0,1210.0,774.0,P1,cmj-center,1
22.0,1001.0,305.0,960.0,563.0,960.0,774.0,1210.0,305.0,1252.0,516.0,1252.0,774.0,P1,cmj-center,1
23.0,960.0,305.0,960.0,540.0,960.0,774.0,1210.0,305.0,1252.0,516.0,1210.0,774.0,P1,cmj-center,1
24.0,960.0,305.0,960.0,540.0,960.0,774.0,1210.0,305.0,1252.0,516.0,1210.0,774.0,P1,cmj-center,1
25.0,1001.0,305.0,960.0,563.0,960.0,774.0,1210.0,305.0,1252.0,516.0,1210.0,774.0,P1,cmj-center,1
26.0,960.0,281.0,960.0,516.0,960.0,774.0,1210.0,281.0,1252.0,516.0,1210.0,774.0,P1,cmj-center,1
27.0,960.0,258.0,960.0,493.0,960.0,774.0,1210.0,258.0,1252.0,493.0,1210.0,751.0,P1,cmj-center,1
28.0,960.0,234.0,960.0,493.0,960.0,774.0,1210.0,234.0,1252.0,493.0,1210.0,751.0,P1,cmj-center,1
29.0,960.0,211.0,1001.0,469.0,960.0,774.0,1210.0,211.0,1252.0,469.0,1252.0,751.0,P1,cmj-center,1
30.0,960.0,187.0,1001.0,469.0,960.0,774.0,1210.0,187.0,1252.0,469.0,1210.0,751.0,P1,cmj-center,1
31.0,960.0,164.0,1001.0,446.0,960.0,751.0,1168.0,164.0,1252.0,446.0,1252.0,751.0,P1,cmj-center,1
32.0,1001.0,117.0,960.0,422.0,960.0,751.0,1168.0,117.0,1252.0,446.0,1252.0,751.0,P1,cmj-center,1
57.0,960.0,70.0,918.0,493.0,876.0,774.0,1168.0,70.0,1210.0,493.0,1210.0,774.0,P1,cmj-center,1
58.0,960.0,117.0,960.0,516.0,876.0,774.0,1168.0,117.0,1168.0,516.0,1210.0,774.0,P1,cmj-center,1
59.0,960.0,93.0,960.0,493.0,918.0,751.0,1168.0,117.0,1210.0,516.0,1210.0,774.0,P1,cmj-center,1
60.0,960.0,93.0,960.0,469.0,876.0,774.0,1168.0,117.0,1210.0,516.0,1210.0,774.0,P1,cmj-center,1
61.0,960.0,70.0,918.0,469.0,918.0,751.0,1168.0,93.0,1168.0,469.0,1210.0,751.0,P1,cmj-center,1
62.0,960.0,46.0,918.0,422.0,876.0,751.0,1168.0,70.0,1210.0,469.0,1210.0,751.0,P1,cmj-center,1
63.0,960.0,23.0,918.0,375.0,876.0,751.0,1168.0,46.0,1210.0,446.0,1210.0,751.0,P1,cmj-center,1
73.0,960.0,0.0,918.0,399.0,876.0,774.0,1126.0,0.0,1168.0,422.0,1210.0,751.0,P1,cmj-center,1
74.0,960.0,0.0,918.0,375.0,876.0,774.0,1126.0,0.0,1168.0,422.0,1210.0,751.0,P1,cmj-center,1
75.0,960.0,0.0,918.0,375.0,876.0,774.0,1126.0,0.0,1168.0,422.0,1210.0,751.0,P1,cmj-center,1
77.0,960.0,0.0,918.0,375.0,876.0,774.0,1126.0,0.0,1168.0,422.0,1210.0,727.0,P1,cmj-center,1
8.0,1001.0,0.0,960.0,422.0,918.0,774.0,1168.0,0.0,1210.0,422.0,1252.0,774.0,P1,cmj-center,2
9.0,1001.0,23.0,960.0,422.0,918.0,774.0,1168.0,23.0,1210.0,446.0,1252.0,774.0,P1,cmj-center,2
10.0,960.0,46.0,960.0,422.0,918.0,774.0,1168.0,46.0,1252.0,446.0,1252.0,774.0,P1,cmj-center,2
11.0,960.0,70.0,960.0,422.0,918.0,774.0,1168.0,70.0,1252.0,446.0,1252.0,774.0,P1,cmj-center,2
12.0,1001.0,93.0,960.0,422.0,918.0,798.0,1210.0,93.0,1252.0,469.0,1252.0,774.0,P1,cmj-center,2
13.0,960.0,117.0,960.0,422.0,960.0,798.0,1210.0,117.0,1252.0,469.0,1252.0,774.0,P1,cmj-center,2
14.0,960.0,140.0,960.0,422.0,960.0,774.0,1210.0,140.0,1252.0,469.0,1252.0,774.0,P1,cmj-center,2
15.0,960.0,187.0,960.0,469.0,918.0,774.0,1210.0,187.0,1293.0,493.0,1252.0,774.0,P1,cmj-center,2
16.0,1001.0,187.0,960.0,469.0,960.0,774.0,1210.0,187.0,1293.0,493.0,1252.0,774.0,P1,cmj-center,2
17.0,1001.0,211.0,960.0,493.0,960.0,774.0,1210.0,211.0,1293.0,493.0,1252.0,774.0,P1,cmj-center,2
18.0,1001.0,234.0,960.0,493.0,918.0,774.0,1210.0,234.0,1293.0,493.0,1252.0,774.0,P1,cmj-center,2
19.0,1001.0,258.0,960.0,516.0,918.0,774.0,1210.0,258.0,1293.0,493.0,1252.0,798.0,P1,cmj-center,2
20.0,1001.0,258.0,960.0,516.0,918.0,774.0,1210.0,258.0,1293.0,516.0,1252.0,798.0,P1,cmj-center,2
21.0,1001.0,305.0,960.0,540.0,918.0,798.0,1210.0,305.0,1293.0,540.0,1252.0,798.0,P1,cmj-center,2
22.0,1001.0,305.0,960.0,540.0,960.0,798.0,1210.0,305.0,1293.0,540.0,1252.0,798.0,P1,cmj-center,2
23.0,1001.0,328.0,960.0,540.0,960.0,798.0,1210.0,328.0,1293.0,540.0,1252.0,798.0,P1,cmj-center,2
24.0,1001.0,328.0,960.0,540.0,918.0,798.0,1210.0,328.0,1293.0,540.0,1252.0,798.0,P1,cmj-center,2
