model_21_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.21956060685474296,0.026079949686082744,50,50
2,0.029154782022895485,0.023987246266866134,51,50
3,0.02512264059021555,0.024225251149323026,51,50
4,0.023588711588547147,0.024444688679808278,56,50
5,0.023111753422638465,0.024200582908371748,55,46
6,0.022961785438759572,0.023728580293008835,61,51
7,0.02281754309761113,0.02384539125329357,59,55
8,0.02250241038614306,0.023718389919248677,62,61
9,0.022825251750904937,0.023737746275077434,60,58
10,0.022468222112491214,0.023628568245192706,62,60
11,0.022788639983226514,0.023276624033006572,59,61
12,0.022253263099440212,0.023659586401308996,61,62
13,0.022447988134005975,0.023519047741162574,59,62
14,0.022393099321373577,0.023295505067049447,59,61
15,0.022068321191031356,0.023510818764314812,61,61
16,0.022771649833383232,0.023127991769273402,59,62
17,0.022279729617053066,0.023382395000781042,59,62
18,0.02211962267756462,0.023317252175282625,61,61
19,0.02230129326725828,0.023228800902932376,58,61
20,0.02217893340978129,0.023031556505267902,61,63
21,0.02258817273481139,0.023108766745712796,57,64
22,0.02213894485913474,0.023118660106497296,57,56
23,0.02205469754749331,0.02296924944651329,59,63
24,0.02178304758051346,0.02324065060938819,62,64
25,0.02227897890682878,0.02302092768378177,59,61
26,0.0218058904183322,0.02281018535969621,58,67
27,0.022091532190298212,0.022890521308123055,62,65
28,0.021657360396508514,0.023099272938097937,62,67
29,0.021612417723598152,0.02287810131654901,60,68
30,0.02142335217574547,0.02283726304264392,65,65
31,0.021905670392102207,0.022966330839415728,60,64
32,0.02081868078174262,0.023289324368460703,64,66
33,0.02107586518957697,0.02449345588684082,66,53
34,0.021785196944557387,0.02367880637362852,58,60
35,0.02125551320355514,0.02284097671508789,59,60
36,0.02035455746126586,0.022850416474423166,64,63
37,0.019778879423593652,0.022205577563431302,64,66
38,0.020248497097656644,0.022366974313380354,68,70
39,0.01990067451421557,0.022093969886585817,66,65
40,0.019828318393435972,0.022051179813126386,67,64
41,0.019450096092347442,0.024327549893977278,69,68
42,0.020585557060508894,0.022955135773804227,67,57
43,0.04851988311214694,0.02710447902396574,57,63
44,0.05352278015223043,0.049148963669599116,56,50
45,0.03555029245286152,0.023590167700234106,53,60
46,0.027120155892495452,0.024135117813692254,58,53
47,0.021242493956253446,0.02367824720124067,58,61
48,0.02091166023807279,0.024639910055419146,58,55
49,0.0204542128304983,0.02503211922564749,65,54
50,0.019751200645134366,0.02346119234117411,65,61
51,0.019509369957035984,0.023718023199146076,64,59
52,0.019347461004709375,0.024157215983180675,66,59
53,0.01928461844037319,0.023747187549785033,66,60
54,0.018991782426320273,0.022780513359328448,67,62
55,0.018769065945826727,0.023251343076511964,67,64
56,0.01899541702506871,0.025562930410191163,67,60
57,0.022212812741254938,0.02654657879118192,61,50
58,0.01973007221160264,0.022439257068149115,66,62
59,0.019456287139448625,0.025523597406128706,66,58
60,0.01840015680625521,0.022092542910979965,70,63
61,0.018141844020835286,0.023616878157955105,69,59
62,0.01811228364962956,0.023050889625387677,72,61
63,0.018832409176333196,0.0236871586007587,69,63
64,0.02265119661801848,0.024335702091960582,69,61
65,0.019458787001926322,0.022401707657312944,66,65
66,0.020132564329381646,0.022255361080169678,63,61
67,0.02002031863506498,0.025339918621515824,65,57
68,0.018647497648309017,0.023683974803504298,68,64
69,0.018548494718711953,0.023920821941505046,68,60
70,0.018276629006040507,0.023811931327237922,69,66
71,0.01782815492358701,0.023388018294916314,71,68
72,0.018526084656859267,0.024226215431245708,70,61
73,0.01733551906614468,0.02378483924825313,70,69
74,0.018454199977989853,0.02453537916733047,71,60
75,0.01726519547659775,0.025040510347334004,73,64
76,0.01753448534371524,0.024898952346737103,73,64
77,0.01778575354095163,0.02381585866717969,74,61
78,0.017839220962647735,0.02517790511503058,70,61
79,0.017306946667617763,0.02356477359593925,76,66
80,0.017071928764725554,0.025173089514344424,73,65
81,0.01782027336544004,0.024930962314039976,76,66
82,0.01674285569581492,0.025009230789491684,74,66
83,0.016657415841673982,0.02469104528427124,77,66
84,0.016900963631683384,0.02668102110846568,74,66
85,0.04028554440572344,0.022823537305250007,59,65
86,0.035372209960016714,0.027936240374031713,48,55
87,0.06239525048897184,0.04641128798662606,51,60
88,0.04100101916440602,0.02464748035042973,47,60
89,0.02302585066906337,0.022638454275616143,53,60
90,0.02160689183350267,0.022377954196121732,59,61
