model_21_3,train_losses,test_losses,train_accuracies,test_accuracies
1,0.2796359969055192,0.02792046553102033,39,47
2,0.02865077337737759,0.02878867500814898,50,52
3,0.025870644227629566,0.02607426663924908,43,52
4,0.024299245663466883,0.02750016646138553,54,52
5,0.02444993874034145,0.025468363844115157,53,52
6,0.025496670168868463,0.025650090184705012,55,52
7,0.023754665779965118,0.026795193552970886,52,52
8,0.023095587931989087,0.0237588985212918,51,56
9,0.023979523279124577,0.022803379030063235,52,57
10,0.022800357812463982,0.023559918177538906,53,55
11,0.023125120882312628,0.023065860415327138,52,59
12,0.022558173908184525,0.023056069838589634,59,58
13,0.022388661368210428,0.022812267829631937,60,56
14,0.022456795105095073,0.022519993884810085,59,57
15,0.022888879407628925,0.022813011346192194,60,59
16,0.02331322764122435,0.023414865136146545,53,56
17,0.023175537458305195,0.023201873590206278,52,57
18,0.023908565484403028,0.022755794484039832,53,57
19,0.025417160834365647,0.025249189343945735,56,53
20,0.02302578257900451,0.02475043411912589,51,56
21,0.022975563619269834,0.02252604632542051,52,57
22,0.022801182556561647,0.022623655611071092,53,56
23,0.02265669706041721,0.022760602934607143,56,57
24,0.022415711388567485,0.02268134160288449,59,59
25,0.022458665488615567,0.022569068546952873,59,56
26,0.022753263619836307,0.023466038806685085,60,58
27,0.023065084551536986,0.0227431439120194,52,56
28,0.022851980551117992,0.0230395403401605,50,55
29,0.022428972270867344,0.022913765290687824,53,58
30,0.023410587735442134,0.022691495459655237,53,57
31,0.023983203034544195,0.023215209101808482,54,53
32,0.02344347517377829,0.024777931899859988,53,57
33,0.02252923905082015,0.022295958523092598,53,57
34,0.021934026044837397,0.02195514224726578,55,62
35,0.022241446465381738,0.022160705307434345,60,66
36,0.022206901224897654,0.02173584751014052,56,62
37,0.021946859653927227,0.021608789933138882,60,59
38,0.02222882831557114,0.02486010640859604,58,54
39,0.022765924362665595,0.022255401159154958,56,56
40,0.022297436203567767,0.022604143311237467,56,57
41,0.022114739909192525,0.02237686514854431,59,58
42,0.022190823447550828,0.02207715963495189,62,56
43,0.022849267772338932,0.02547752189225164,55,53
44,0.0222776188742961,0.022357423757684642,55,58
45,0.02306427502836792,0.023125994822074628,57,55
46,0.02188354641071205,0.023787597900834578,57,58
47,0.02182493944024835,0.02186786871531914,62,62
48,0.021458182467923144,0.021818163066074765,62,60
49,0.02196406166952567,0.02171034545734011,63,60
50,0.02364914509359859,0.022606367694920505,59,56
51,0.022771370257430833,0.023031316440680932,51,56
52,0.02256445209355825,0.02193192880729149,55,59
53,0.022513460511813348,0.022111049243088425,55,59
54,0.022612834437210672,0.022535677613883184,57,62
55,0.022264060160632808,0.02261259458188353,58,63
56,0.021798200233811474,0.021539673723023515,58,63
57,0.021203226733617006,0.020881500737420445,61,63
58,0.021519420676476966,0.02104455284003554,60,63
59,0.02102179204957168,0.020843031334465946,61,62
60,0.0215903224479487,0.02141531222853167,63,62
61,0.02200816840317116,0.021536416534719795,60,63
62,0.021781790154174675,0.02219513212812358,58,62
63,0.02129844470597132,0.020944354092252666,62,64
64,0.021136866938402724,0.020842559121806045,61,62
65,0.02111661977778177,0.020856041075854467,64,64
66,0.021083287798795577,0.021091146458839548,64,63
67,0.021135343374612505,0.02107663298475331,63,64
68,0.021396529648948635,0.021598899672771323,66,62
69,0.021120408829701304,0.021319111359530483,64,62
70,0.01993310266042472,0.020428220259732212,66,65
71,0.01935534351885063,0.019597128033638,70,70
72,0.019911707278996577,0.020489716324312932,69,71
73,0.01970947600997057,0.020393436838840616,69,65
74,0.021082252583790234,0.02120297556293422,67,64
75,0.021059099952550404,0.02073717631142715,62,64
76,0.020521111626481806,0.020262303280419315,64,67
77,0.019802981627857225,0.020740734092120468,67,63
78,0.019014070154259644,0.021541435143043255,69,62
79,0.018431549803893454,0.02075762764133256,70,66
80,0.019047680330890444,0.02018531052203014,70,67
81,0.018874814454066396,0.021560127365178074,71,65
82,0.019305537570699603,0.021469805518101,68,65
83,0.01877070969778069,0.022682471521969498,69,67
84,0.01913895128622587,0.022292972638689238,71,64
85,0.018400644411856525,0.020580355977189952,70,63
86,0.017610408525610174,0.02164786437462116,73,65
87,0.017814297596784108,0.021703867819802516,72,62
88,0.018353799381992848,0.02160208903509995,71,68
89,0.01916901524230646,0.02099903518783635,72,66
90,0.024764332200836216,0.029025478095843875,64,52
