model_22_5,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6751102567718714,0.6469036709694636,tensor([61.8449], device='cuda:5'),tensor([66.6667], device='cuda:5')
2,0.6078046835193595,0.6094608533950079,tensor([70.6499], device='cuda:5'),tensor([68.5714], device='cuda:5')
3,0.586520334209786,0.6604666880198887,tensor([72.1174], device='cuda:5'),tensor([63.8095], device='cuda:5')
4,0.599185992336873,0.6616406980014983,tensor([70.2306], device='cuda:5'),tensor([64.7619], device='cuda:5')
5,0.6002783841556973,0.6708781719207764,tensor([70.2306], device='cuda:5'),tensor([59.0476], device='cuda:5')
6,0.5950155785498629,0.6308638964380536,tensor([71.4885], device='cuda:5'),tensor([66.6667], device='cuda:5')
7,0.5913866114816326,0.6694834374246144,tensor([71.2788], device='cuda:5'),tensor([58.0952], device='cuda:5')
8,0.6018135860031256,0.6402373512585958,tensor([70.4402], device='cuda:5'),tensor([65.7143], device='cuda:5')
9,0.5960724416268947,0.6698135989052909,tensor([71.0692], device='cuda:5'),tensor([59.0476], device='cuda:5')
10,0.5937934896481112,0.6184711654980978,tensor([70.4402], device='cuda:5'),tensor([66.6667], device='cuda:5')
11,0.5886968781613204,0.6215887722514924,tensor([71.2788], device='cuda:5'),tensor([68.5714], device='cuda:5')
12,0.5998213517340975,0.624597259930202,tensor([70.8595], device='cuda:5'),tensor([64.7619], device='cuda:5')
13,0.5887021359907506,0.6513247177714393,tensor([70.8595], device='cuda:5'),tensor([62.8571], device='cuda:5')
14,0.5926844959988784,0.635600331283751,tensor([71.2788], device='cuda:5'),tensor([62.8571], device='cuda:5')
15,0.5870836905088564,0.6519440639586676,tensor([72.3270], device='cuda:5'),tensor([62.8571], device='cuda:5')
16,0.588116595580143,0.6579619447390238,tensor([70.8595], device='cuda:5'),tensor([60.9524], device='cuda:5')
17,0.5853230600836892,0.6664061205727714,tensor([71.4885], device='cuda:5'),tensor([60.9524], device='cuda:5')
18,0.5838030859109491,0.6187156552360171,tensor([71.6981], device='cuda:5'),tensor([67.6190], device='cuda:5')
19,0.5946721185928121,0.6377439300219218,tensor([69.6017], device='cuda:5'),tensor([62.8571], device='cuda:5')
20,0.5881012886825098,0.6434995191437858,tensor([70.8595], device='cuda:5'),tensor([62.8571], device='cuda:5')
21,0.593073814295123,0.6472574898174831,tensor([71.4885], device='cuda:5'),tensor([62.8571], device='cuda:5')
22,0.583577688884935,0.6652180779547918,tensor([71.9078], device='cuda:5'),tensor([61.9048], device='cuda:5')
23,0.5934845641474054,0.6429481619880313,tensor([70.0210], device='cuda:5'),tensor([64.7619], device='cuda:5')
24,0.5890062582567803,0.620782562664577,tensor([70.8595], device='cuda:5'),tensor([68.5714], device='cuda:5')
25,0.5932498836667283,0.6694638757478624,tensor([70.8595], device='cuda:5'),tensor([61.9048], device='cuda:5')
26,0.593143818763317,0.6268215945788792,tensor([70.8595], device='cuda:5'),tensor([66.6667], device='cuda:5')
27,0.5863947377264874,0.6448430220286051,tensor([71.9078], device='cuda:5'),tensor([61.9048], device='cuda:5')
28,0.5921384364803882,0.6490887091273353,tensor([70.0210], device='cuda:5'),tensor([62.8571], device='cuda:5')
29,0.5802027623108598,0.6424204678762526,tensor([71.6981], device='cuda:5'),tensor([62.8571], device='cuda:5')
30,0.5920906265576681,0.6363634495508104,tensor([71.2788], device='cuda:5'),tensor([66.6667], device='cuda:5')
31,0.5916814404213704,0.6516137492089045,tensor([70.4402], device='cuda:5'),tensor([63.8095], device='cuda:5')
32,0.585599694861806,0.6381741478329613,tensor([70.6499], device='cuda:5'),tensor([63.8095], device='cuda:5')
33,0.5859207434724212,0.6236521232695806,tensor([71.0692], device='cuda:5'),tensor([67.6190], device='cuda:5')
34,0.5842108726501465,0.6612469781012762,tensor([71.9078], device='cuda:5'),tensor([61.9048], device='cuda:5')
35,0.5855008908537699,0.6286530239241463,tensor([70.8595], device='cuda:5'),tensor([68.5714], device='cuda:5')
36,0.5833312249283621,0.6632395074481056,tensor([72.1174], device='cuda:5'),tensor([61.9048], device='cuda:5')
37,0.587604229180318,0.632448014758882,tensor([71.0692], device='cuda:5'),tensor([64.7619], device='cuda:5')
38,0.5911215163876675,0.6294949310166496,tensor([70.8595], device='cuda:5'),tensor([65.7143], device='cuda:5')
39,0.5874354598157311,0.6331826334907895,tensor([71.4885], device='cuda:5'),tensor([67.6190], device='cuda:5')
40,0.5910442259076756,0.6254009320622399,tensor([71.0692], device='cuda:5'),tensor([69.5238], device='cuda:5')
41,0.5895394381737059,0.6429121721358526,tensor([70.6499], device='cuda:5'),tensor([62.8571], device='cuda:5')
