model_1_4,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6905042914480999,0.6950590337737131,tensor([54.9569], device='cuda:1'),tensor([49.1525], device='cuda:1')
2,0.6828639373697084,1.028255278781309,tensor([59.2672], device='cuda:1'),tensor([51.6949], device='cuda:1')
3,0.6588660273058661,0.7729310191283791,tensor([60.1293], device='cuda:1'),tensor([48.3051], device='cuda:1')
4,0.6324554301541427,0.6595916111590499,tensor([65.3017], device='cuda:1'),tensor([62.7119], device='cuda:1')
5,0.6361285093529471,0.7044324955697787,tensor([63.5776], device='cuda:1'),tensor([55.0847], device='cuda:1')
6,0.6174051694828888,0.7289375359729185,tensor([66.8103], device='cuda:1'),tensor([46.6102], device='cuda:1')
7,0.5627986475311476,0.7942419233968703,tensor([72.6293], device='cuda:1'),tensor([51.6949], device='cuda:1')
8,0.5656968257550535,0.6402436434212377,tensor([74.5690], device='cuda:1'),tensor([66.1017], device='cuda:1')
9,0.49404987924057864,0.8111723610910319,tensor([76.5086], device='cuda:1'),tensor([55.0847], device='cuda:1')
10,0.4420543333579754,1.1412868479550895,tensor([80.3879], device='cuda:1'),tensor([46.6102], device='cuda:1')
11,0.4127047936721095,0.7856597622572365,tensor([81.4655], device='cuda:1'),tensor([53.3898], device='cuda:1')
12,0.2518644612121942,1.3556572941400238,tensor([89.0086], device='cuda:1'),tensor([50.], device='cuda:1')
13,0.21964185816589102,1.4851451657586179,tensor([91.1638], device='cuda:1'),tensor([53.3898], device='cuda:1')
14,0.24466425369911152,1.9160286256100318,tensor([90.7328], device='cuda:1'),tensor([44.9153], device='cuda:1')
15,0.15119550513617439,2.0600481114145053,tensor([93.5345], device='cuda:1'),tensor([52.5424], device='cuda:1')
16,0.23965851793964876,0.9849727305315309,tensor([91.3793], device='cuda:1'),tensor([60.1695], device='cuda:1')
17,0.15670474314387758,0.8226907172445523,tensor([95.0431], device='cuda:1'),tensor([58.4746], device='cuda:1')
18,0.11957866430346822,1.487036841148037,tensor([97.1983], device='cuda:1'),tensor([63.5593], device='cuda:1')
19,0.17518363587943644,1.3261815529253522,tensor([94.3966], device='cuda:1'),tensor([54.2373], device='cuda:1')
20,0.1232472110342973,1.1428457018682512,tensor([96.5517], device='cuda:1'),tensor([58.4746], device='cuda:1')
21,0.07363005002944506,1.8772333510598893,tensor([97.8448], device='cuda:1'),tensor([60.1695], device='cuda:1')
22,0.1156841611132379,2.077729195608931,tensor([97.8448], device='cuda:1'),tensor([55.0847], device='cuda:1')
23,0.033259515946877496,1.9009314856286776,tensor([98.4914], device='cuda:1'),tensor([55.9322], device='cuda:1')
24,0.11884932211050282,2.9739361026569,tensor([97.4138], device='cuda:1'),tensor([49.1525], device='cuda:1')
25,0.1320024338743553,1.2247150388814636,tensor([96.1207], device='cuda:1'),tensor([55.9322], device='cuda:1')
26,0.03527123535027856,1.765842303381128,tensor([99.1379], device='cuda:1'),tensor([58.4746], device='cuda:1')
27,0.014601413313859415,2.1835281864061193,tensor([99.5690], device='cuda:1'),tensor([52.5424], device='cuda:1')
28,0.0037469675494478374,2.5954347459946647,tensor([100.], device='cuda:1'),tensor([55.0847], device='cuda:1')
29,0.08919412604173603,4.273949584718478,tensor([97.4138], device='cuda:1'),tensor([50.], device='cuda:1')
30,0.2218252911457214,1.7620894094234554,tensor([95.2586], device='cuda:1'),tensor([58.4746], device='cuda:1')
31,0.1178265656274342,2.1044597645937384,tensor([97.4138], device='cuda:1'),tensor([54.2373], device='cuda:1')
32,0.01742139701221684,2.5512078677193593,tensor([99.7845], device='cuda:1'),tensor([53.3898], device='cuda:1')
33,0.007838176081412681,2.9991064314114846,tensor([99.7845], device='cuda:1'),tensor([54.2373], device='cuda:1')
34,0.19876412457434245,1.2126486998493389,tensor([95.0431], device='cuda:1'),tensor([55.9322], device='cuda:1')
35,0.11216268717443795,1.868893778425152,tensor([97.4138], device='cuda:1'),tensor([58.4746], device='cuda:1')
36,0.07479623390626612,1.9612448599378942,tensor([97.1983], device='cuda:1'),tensor([47.4576], device='cuda:1')
37,0.035394006352801405,2.1122316212977394,tensor([98.9224], device='cuda:1'),tensor([54.2373], device='cuda:1')
38,0.009969509340878395,2.33391970901166,tensor([99.7845], device='cuda:1'),tensor([52.5424], device='cuda:1')
39,0.03062204375525872,2.049108157218513,tensor([99.1379], device='cuda:1'),tensor([51.6949], device='cuda:1')
40,0.02155317472841426,2.7187601913840083,tensor([98.9224], device='cuda:1'),tensor([51.6949], device='cuda:1')
41,0.09410067191367552,2.819039145263575,tensor([96.3362], device='cuda:1'),tensor([50.8475], device='cuda:1')
42,0.07547265042727493,2.190438455444271,tensor([98.0603], device='cuda:1'),tensor([49.1525], device='cuda:1')
43,0.013697899376736666,2.2656784961789342,tensor([99.7845], device='cuda:1'),tensor([51.6949], device='cuda:1')
44,0.00940462885510301,2.617883011446161,tensor([99.5690], device='cuda:1'),tensor([53.3898], device='cuda:1')
45,0.005367920080971089,2.78562576487913,tensor([99.7845], device='cuda:1'),tensor([52.5424], device='cuda:1')
46,0.001849332861670048,3.068428189067517,tensor([100.], device='cuda:1'),tensor([50.8475], device='cuda:1')
47,0.0007856395074260695,3.220859422522076,tensor([100.], device='cuda:1'),tensor([50.], device='cuda:1')
48,0.01622034948904284,3.0857528609744573,tensor([99.3534], device='cuda:1'),tensor([55.9322], device='cuda:1')
49,0.1757031073021953,2.4134463324385176,tensor([97.8448], device='cuda:1'),tensor([49.1525], device='cuda:1')
50,0.0012865195105781634,2.8066577466867737,tensor([100.], device='cuda:1'),tensor([50.8475], device='cuda:1')
51,0.00045848435005107856,2.9172727354502275,tensor([100.], device='cuda:1'),tensor([51.6949], device='cuda:1')
52,0.00140214464931103,2.867939243882389,tensor([100.], device='cuda:1'),tensor([52.5424], device='cuda:1')
53,0.19876684044221166,3.0653666621547635,tensor([96.9828], device='cuda:1'),tensor([61.0169], device='cuda:1')
54,0.10287638912970955,1.3829951548980455,tensor([96.5517], device='cuda:1'),tensor([58.4746], device='cuda:1')
55,0.04600230131623464,1.6177013940730338,tensor([97.4138], device='cuda:1'),tensor([50.], device='cuda:1')
