model_1_1,train_losses,test_losses,train_accuracies,test_accuracies
1,0.6827597527021773,0.6381330596704553,tensor([55.2809], device='cuda:1'),tensor([63.5037], device='cuda:1')
2,0.6690536018167988,0.9331826132579442,tensor([60.8989], device='cuda:1'),tensor([50.3650], device='cuda:1')
3,0.6094097665186679,0.9905558802785664,tensor([66.2921], device='cuda:1'),tensor([54.0146], device='cuda:1')
4,0.6257853376731444,0.6514824846365156,tensor([65.1685], device='cuda:1'),tensor([54.0146], device='cuda:1')
5,0.6082076059298569,0.6751992221731339,tensor([67.8652], device='cuda:1'),tensor([54.0146], device='cuda:1')
6,0.6015281875481766,0.6515421480157949,tensor([71.2360], device='cuda:1'),tensor([59.8540], device='cuda:1')
7,0.5781733988376146,1.1953198274556738,tensor([68.3146], device='cuda:1'),tensor([45.2555], device='cuda:1')
8,0.5973715470078286,0.7054547959000524,tensor([70.3371], device='cuda:1'),tensor([54.0146], device='cuda:1')
9,0.5802608796719755,0.6751326461506151,tensor([69.2135], device='cuda:1'),tensor([62.0438], device='cuda:1')
10,0.5071978653414866,0.8983418058304891,tensor([76.4045], device='cuda:1'),tensor([56.2044], device='cuda:1')
11,0.5136218566573068,0.6231446622932044,tensor([77.5281], device='cuda:1'),tensor([60.5839], device='cuda:1')
12,0.4913810818382863,0.71849233347134,tensor([80.2247], device='cuda:1'),tensor([59.1241], device='cuda:1')
13,0.4260225400496065,1.2037900625354183,tensor([82.6966], device='cuda:1'),tensor([45.9854], device='cuda:1')
14,0.36103554066647303,1.321324382167663,tensor([83.1461], device='cuda:1'),tensor([49.6350], device='cuda:1')
15,0.3670619852757186,1.1884514071645529,tensor([83.3708], device='cuda:1'),tensor([47.4453], device='cuda:1')
16,0.2607057278410772,1.8276160926605662,tensor([92.1348], device='cuda:1'),tensor([51.0949], device='cuda:1')
17,0.2472496954242835,0.9653666637239665,tensor([90.3371], device='cuda:1'),tensor([57.6642], device='cuda:1')
18,0.21087793265835622,1.2089256113463074,tensor([91.9101], device='cuda:1'),tensor([59.1241], device='cuda:1')
19,0.15254525792565238,1.0645210273074408,tensor([95.2809], device='cuda:1'),tensor([66.4234], device='cuda:1')
20,0.16703078328642282,1.7871219615866667,tensor([94.6067], device='cuda:1'),tensor([59.1241], device='cuda:1')
21,0.20216769075460647,1.0426626501292209,tensor([93.0337], device='cuda:1'),tensor([54.7445], device='cuda:1')
22,0.19292804455656684,0.8557668428351409,tensor([95.5056], device='cuda:1'),tensor([65.6934], device='cuda:1')
23,0.10993857494963521,1.4093744342562056,tensor([95.7303], device='cuda:1'),tensor([57.6642], device='cuda:1')
24,0.03880210970999317,1.7214194429616858,tensor([99.1011], device='cuda:1'),tensor([58.3942], device='cuda:1')
