Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
66,6694,4,10,40,25,2,0.002390728,0.598549726,68.06365967,0.646936435,62.93169861,39,34,28,14,0.584901337,0.728132893,0.642429053,0.707067912,0.550209246,0.610635545,0.63917107,0.270378465,0.63917107,0.284981062
68,9575,4,10,40,25,2,0.004110341,0.61032905,69.38061752,0.661788109,62.51810303,40,32,29,13,0.574405594,0.736851096,0.641177001,0.713522544,0.526604292,0.596104556,0.631727694,0.25821949,0.631727694,0.274899075
24,9391,3,30,40,15,2,0.002291285,0.624135546,64.095298,0.655241235,61.02729797,37,33,28,16,0.57558159,0.705033592,0.613619534,0.70412045,0.527334943,0.570062457,0.616184268,0.229938343,0.616184268,0.254192135
141,4954,3,115,14,30,5,0.000538671,0.624450414,65.02293396,0.666441926,62.1094162,33,39,23,20,0.580530064,0.614089757,0.594096404,0.655984649,0.614890888,0.632035764,0.614490323,0.22988418,0.614490323,0.232690398
23,1901,4,120,48,35,3,0.001177336,0.619791733,65.12840958,0.664930268,60.33453598,38,31,31,15,0.564771129,0.720901717,0.624934164,0.684652847,0.513588016,0.575380667,0.617244867,0.226704792,0.617244867,0.241755781
97,2974,3,105,40,45,2,0.003812121,0.622766107,65.92735367,0.673472767,61.09822769,31,40,22,22,0.583477437,0.589419797,0.581739202,0.641353581,0.633201156,0.632883639,0.611310477,0.221359344,0.611310477,0.223718015
117,2970,1,10,24,30,3,0.000209316,0.419234982,86.16659241,0.670824836,61.25729218,29,41,20,24,0.587566353,0.547000403,0.564845147,0.629661273,0.666001453,0.646237904,0.606500928,0.213702818,0.606500928,0.21507271
101,1478,4,85,32,25,2,0.000684271,0.610153165,67.26171875,0.681493316,60.68184357,33,36,25,20,0.567495643,0.629348133,0.585927806,0.665753616,0.581454464,0.607273133,0.605401298,0.209079601,0.605401298,0.221455077
60,6458,3,190,32,15,2,0.001322289,0.574571029,69.60177841,0.684033231,59.32995758,37,31,31,16,0.564026405,0.699638086,0.616832521,0.648595166,0.509018477,0.559940241,0.604328281,0.20492916,0.604328281,0.210609545
149,4892,4,55,40,25,2,0.002855691,0.619222106,66.22825928,0.660860727,59.68906021,40,28,34,13,0.547183028,0.752462399,0.630880845,0.684377461,0.450831802,0.534968271,0.6016471,0.199754123,0.6016471,0.216494971
49,2752,4,45,40,25,2,0.002407376,0.600296925,67.89229507,0.658530533,61.26137466,27,43,18,26,0.589192481,0.506529833,0.530677753,0.635218205,0.685996591,0.648133786,0.596263212,0.196486283,0.596263212,0.20764384
19,3499,2,135,24,20,2,0.00048987,0.601601832,66.26208344,0.685149081,59.82697754,34,35,27,19,0.563912598,0.629371873,0.592098263,0.636304585,0.568579306,0.597944475,0.59897559,0.196466111,0.59897559,0.199066035
104,5578,3,150,24,30,2,0.000112633,0.630704544,68.22006531,0.675795199,59.84938202,36,33,29,17,0.543307792,0.656011045,0.583864244,0.664818478,0.538850482,0.585021763,0.597430764,0.19089889,0.597430764,0.201353984
99,5978,2,125,24,40,3,0.000425249,0.663039005,60.2354538,0.689846172,59.2288765,32,36,26,21,0.564176239,0.601256583,0.573724246,0.632717438,0.590453759,0.601492943,0.595855171,0.189472239,0.595855171,0.194271388
110,3023,3,25,24,15,2,0.00117693,0.631872898,62.16278458,0.675624445,61.1993721,24,47,15,29,0.503153044,0.452729275,0.465790077,0.618461423,0.734808814,0.656959669,0.593769045,0.188021662,0.593769045,0.195897114
55,9644,3,70,40,15,2,0.006149466,0.66283254,60.40595551,0.670471047,59.5066391,35,34,28,18,0.550442057,0.648591631,0.592828431,0.650070856,0.539953139,0.583022608,0.594272385,0.187265092,0.594272385,0.194080475
7,4792,2,10,24,25,3,0.001685123,0.646616924,62.51243286,0.667675994,58.41571503,34,33,29,19,0.5521482,0.64830645,0.57240501,0.661029014,0.547342852,0.577514273,0.597824651,0.186125135,0.597824651,0.204008317
108,4060,4,55,40,45,3,0.001735761,0.637042308,64.28486557,0.67288743,59.19665298,28,39,22,25,0.585051103,0.524617362,0.530177137,0.626553013,0.653385449,0.621768976,0.589001405,0.180156807,0.589001405,0.193923454
32,3441,2,165,12,15,3,0.000108772,0.551687804,72.15254059,0.674171753,60.3470787,29,40,22,24,0.579589337,0.555997992,0.529414742,0.631180404,0.623484729,0.614743368,0.58974136,0.179905165,0.58974136,0.19067894
92,5317,2,110,14,30,2,0.004715499,0.612093717,68.07739563,0.663191697,60.28791199,29,40,21,24,0.566720815,0.533600091,0.530338586,0.638897696,0.639395879,0.623264447,0.586497985,0.176268198,0.586497985,0.188371251
21,4853,3,115,12,25,2,0.000742623,0.573015683,72.07137604,0.68485304,59.55879364,29,40,22,24,0.570112985,0.523632467,0.522958141,0.629938654,0.652330936,0.62639627,0.587981701,0.175804071,0.587981701,0.187197196
146,1902,4,45,40,25,2,0.002536406,0.653411497,60.36363678,0.668883494,57.48062363,40,26,36,13,0.532416981,0.74915665,0.618753039,0.666602966,0.427090591,0.513088895,0.588123621,0.172134622,0.588123621,0.187040444
132,3112,3,70,16,45,5,0.000621149,0.623968737,65.2297554,0.671366219,59.83710632,29,40,22,24,0.569018505,0.534564238,0.531729202,0.621035609,0.635381196,0.613679745,0.584972717,0.171696221,0.584972717,0.178876873
150,3428,4,100,40,25,2,0.003844991,0.635464435,64.05162506,0.667777402,57.88502579,35,32,30,18,0.554128515,0.658297808,0.588927468,0.616890174,0.508736935,0.538711126,0.583517372,0.171112474,0.583517372,0.169431238
148,8417,4,45,40,25,2,0.005098658,0.645399432,63.97534103,0.668306643,58.32194595,32,34,27,21,0.433470413,0.620219518,0.508789113,0.669058332,0.551960374,0.567348373,0.586089946,0.16567248,0.586089946,0.184199779
69,8591,4,145,40,25,2,0.001203066,0.636662667,64.11241379,0.675922179,58.30514069,35,33,29,18,0.534738737,0.640492169,0.577524458,0.652095878,0.525545664,0.569258462,0.583018916,0.163474834,0.583018916,0.175422045
50,5952,1,100,16,45,2,0.02120344,0.708405792,57.09979706,0.670188686,61.23602524,25,46,16,28,0.363355163,0.451506817,0.400803312,0.646219011,0.712963003,0.646935976,0.58223491,0.163212904,0.58223491,0.170898969
48,8167,1,160,8,40,2,0.000646473,0.5860081,69.7635498,0.685303881,59.50705719,29,39,23,24,0.558052791,0.530473469,0.517098663,0.628188677,0.630769712,0.6196656,0.58062159,0.162450506,0.58062159,0.171419407
12,592,3,20,12,30,3,0.000250132,0.62194884,66.32435913,0.671807514,59.53468094,28,41,21,25,0.453722678,0.526058151,0.471223008,0.671915287,0.63824743,0.611373233,0.58215279,0.161847068,0.58215279,0.171119132
82,8095,4,120,24,30,3,0.001074488,0.621923836,64.9118309,0.675351472,58.70988693,26,42,20,27,0.454207881,0.473179611,0.445949488,0.633478165,0.685875243,0.62555278,0.579527427,0.159797006,0.579527427,0.172727317
100,140,3,115,12,35,2,0.007624345,0.669971707,57.98957062,0.666590732,61.11779861,23,47,15,30,0.46467138,0.428944255,0.400171768,0.632258426,0.730242375,0.6554745,0.579593315,0.159426292,0.579593315,0.165565286
77,4042,1,60,10,35,4,0.000246014,0.583837449,68.20924606,0.735984501,57.46060486,31,35,27,22,0.559685093,0.575253669,0.543917791,0.624685241,0.585474277,0.577822142,0.580363973,0.159044478,0.580363973,0.172111281
87,175,3,45,24,35,4,0.001519864,0.635396563,63.01370239,0.680417399,58.23321686,34,33,29,19,0.540204102,0.633887526,0.575519504,0.627104464,0.527437162,0.562392669,0.580662344,0.159007878,0.580662344,0.16414698
113,1602,2,20,40,5,2,0.002282639,0.637163523,64.16394043,0.670271198,58.83180161,32,36,26,21,0.522609171,0.599304298,0.539986191,0.661675796,0.561054086,0.585363368,0.580179192,0.158086697,0.580179192,0.171805499
67,2475,4,10,40,25,2,0.002781861,0.634822816,62.54087601,0.673516976,59.14810791,36,32,30,17,0.43799847,0.679258333,0.531700838,0.693806858,0.481508752,0.518453072,0.580383543,0.156592147,0.580383543,0.184885726
118,7192,3,185,40,25,2,0.000308414,0.614525837,64.14177551,0.690129176,58.07347794,29,38,24,24,0.548534799,0.542222963,0.535496105,0.620196861,0.613416975,0.606854604,0.577819969,0.155382346,0.577819969,0.161977427
131,4414,1,160,40,40,2,0.000892263,0.643693653,63.42373276,0.693949009,58.01615753,32,35,27,21,0.536470491,0.591349735,0.551349793,0.640339123,0.565401554,0.585602518,0.578375645,0.155235229,0.578375645,0.166339642
64,1834,2,55,14,5,2,0.000368683,0.634468882,63.61192703,0.69105924,57.59950256,31,35,27,22,0.545089273,0.596323615,0.558089624,0.621553864,0.558897076,0.578772259,0.577610346,0.154075545,0.577610346,0.160728138
34,8217,1,75,24,30,4,0.000185108,0.606759693,66.65144501,0.719126812,56.95306702,37,28,34,16,0.52397003,0.697137221,0.596946568,0.6468712,0.458863092,0.535040409,0.578000157,0.152983282,0.578000157,0.163186566
147,2298,4,45,40,25,2,0.002244505,0.627379994,64.23343582,0.667551937,58.08714371,29,38,24,24,0.43789916,0.545604722,0.481744969,0.634308264,0.610306869,0.592857676,0.577955796,0.152557584,0.577955796,0.16124892
11,3647,3,75,24,40,3,0.002273418,0.614388156,65.34947052,0.658512769,57.45103683,24,42,20,29,0.451284903,0.451646528,0.445845159,0.603862039,0.699615171,0.630630959,0.575630849,0.151698304,0.575630849,0.153605767
18,2866,1,85,10,45,2,0.012600839,0.632461885,63.83419418,0.662908907,58.98115921,29,39,23,24,0.438611571,0.549429181,0.478696566,0.657089358,0.605552825,0.597193514,0.577491003,0.151552433,0.577491003,0.166362953
89,2176,3,195,32,40,5,0.002142808,0.65878019,59.06721115,0.659438328,60.28259277,24,46,16,29,0.364444444,0.42669225,0.372921102,0.662370029,0.719957627,0.626634689,0.573324939,0.149766211,0.573324939,0.173073205
65,6786,3,175,40,35,3,0.001970367,0.655875115,60.13823318,0.678429097,58.26927567,28,39,22,25,0.561480983,0.515109937,0.528175198,0.59538961,0.630244833,0.606500738,0.572677385,0.148171519,0.572677385,0.150767605
72,8112,4,180,40,20,2,0.000611774,0.580233726,70.73379288,0.680383171,58.38405151,30,38,24,23,0.548198835,0.549335055,0.536295676,0.609509035,0.595520551,0.591497178,0.572427803,0.146801108,0.572427803,0.150993432
