model_134_2,train_losses,test_losses,train_accuracies,test_accuracies
1,0.1961959829600919,0.07801851911364861,50,57
2,0.040603158353757454,0.032856456513674755,50,57
3,0.022951838098654226,0.013115052344664088,50,57
4,0.017584979158489646,0.01618869462103214,52,42
5,0.013867655095933866,0.013135987632679489,49,57
6,0.01371449783068745,0.01333463191986084,51,45
7,0.013158504452024187,0.013082997978858228,47,47
8,0.013051107400605659,0.01289832592010498,53,57
9,0.012991047206045199,0.01313839093694147,53,53
10,0.012778121508470103,0.013168224186267494,62,55
11,0.012546004117036066,0.013438599289588208,61,55
12,0.012569538184574671,0.013136787234612231,60,52
13,0.012571657530399932,0.013773024644491807,61,51
14,0.012500535039340748,0.013224977929637118,60,56
15,0.012440991877507763,0.01327995534213084,60,54
16,0.012582048147666353,0.013484871050096908,60,54
17,0.012484164047641914,0.013296642955744042,61,52
18,0.012446156945549139,0.01353891390674519,62,54
19,0.012390175161241484,0.013600488316338017,61,53
20,0.012341624047575878,0.013538897599814073,61,52
21,0.012291066411162625,0.013560264740350112,62,53
22,0.012269901252594315,0.01347344382753912,62,54
23,0.012223879204076879,0.0137103981566879,62,54
24,0.012192522026911503,0.014272249532195757,65,54
25,0.012713412402056846,0.013216092339101827,58,54
26,0.01242174333384057,0.013045296916421855,64,56
27,0.012164336668343103,0.013599919260672803,64,55
28,0.012190790612156652,0.01373918944934629,63,54
29,0.012120562441208783,0.013681405557776397,62,54
30,0.012049278792212991,0.013867640832685074,64,55
31,0.012046225431586514,0.014264772523124263,64,53
32,0.012073646823899085,0.014681795295679345,64,53
33,0.012238973329047194,0.015019437052168936,63,53
34,0.012549344481540327,0.013148349973390688,60,56
35,0.011810453937334172,0.014021818930248045,64,54
36,0.012165447618781017,0.013467450186891376,64,54
37,0.01177673029298542,0.015110961671145458,65,54
38,0.01248404270961505,0.014083705420763988,60,52
39,0.012328052846323542,0.013396599945032372,62,52
40,0.011942550164310872,0.015361438944654644,63,42
41,0.012369743039628038,0.013579418636717886,60,56
42,0.012578961478561914,0.01310051387211062,62,52
43,0.012317379983533331,0.013743862790881464,64,54
44,0.012237689324787684,0.01370136524146458,64,55
45,0.012028291195380587,0.014329678045128877,64,52
46,0.012281048698585574,0.013439515289270653,64,55
47,0.012116425928949308,0.0133482482073442,65,55
48,0.011923269188704611,0.01359817160750335,65,55
49,0.011950014519090411,0.01375023936325649,66,57
50,0.011835888028144836,0.014440302578908092,66,53
51,0.012248481772526973,0.013994502571393858,64,58
52,0.01215273855614061,0.013442130583637166,64,59
53,0.011916895874408112,0.013813653082217811,66,55
54,0.011870054637684542,0.014119851139356505,67,52
55,0.012052243872850883,0.014012823689658687,67,56
56,0.011995038315027701,0.013823120661501615,67,56
57,0.012021041843069702,0.013402777460386168,67,57
58,0.011503871123329932,0.014003083391009637,67,54
59,0.01182128075792008,0.013370417761352827,65,56
60,0.01180624435929691,0.013459729698469054,66,60
61,0.012351520547345906,0.013098044215508227,64,58
62,0.012101980192320687,0.014079501606383413,62,52
63,0.011767045039088786,0.014427381866383102,66,54
64,0.011587408786060429,0.014379384945023735,67,56
65,0.01205927484175738,0.013632438092861535,65,54
66,0.011643305295655708,0.016600967578168185,66,54
67,0.012762853828798822,0.013144571263835116,62,58
68,0.011798722528609909,0.013844619382102534,66,51
69,0.01201771099527343,0.014903283906432818,63,47
70,0.01271359046467212,0.013449629522719473,62,55
71,0.012479782605371555,0.014092073687967265,61,51
72,0.012039537439827159,0.014323201944243233,62,55
73,0.011964855324320433,0.013985862147133305,61,54
74,0.01166990987893914,0.014570800763256144,64,51
75,0.011701387580202408,0.01501426269423287,64,45
76,0.01167230264228933,0.015163519472446083,64,49
77,0.011597160343863383,0.01559448298418297,66,52
78,0.011822648283814182,0.014867269205597212,65,44
79,0.012188562700728408,0.013502114786292022,60,55
80,0.011715573297829187,0.014549588819719711,65,55
81,0.011460184362255224,0.015512648618446206,65,49
82,0.011508264023215831,0.014966672321535507,66,49
83,0.011254266092256337,0.015093322632447729,69,52
84,0.011268097249900593,0.014825764692054605,68,52
85,0.011133976656348766,0.01533147580218765,68,47
86,0.011667934035052773,0.014210824696522838,63,57
87,0.011633592806443447,0.014203926302352041,67,54
88,0.01124717727178285,0.01624036228881692,68,40
89,0.01152500240993099,0.015299758258855567,65,47
90,0.011263360245888974,0.014478148716800619,67,53
91,0.010869792404295016,0.015594274367926255,69,51
92,0.010782208700640863,0.01557560349410435,68,50
93,0.011196783986412176,0.014436893867996504,67,50
94,0.010959921326456951,0.016470443527653533,70,50
95,0.011603462345459881,0.015274998714339058,67,45
96,0.011647481064335639,0.014984440691066239,64,53
97,0.011381822599082434,0.01471749004328026,68,51
98,0.011651504064808372,0.014908321623532277,67,45
99,0.011532089665156453,0.015388085032409092,65,53
100,0.011679221038557902,0.014962010788467695,68,44
101,0.011830945475762631,0.014050192990393008,63,54
102,0.011496200656690518,0.01487805483476171,64,52
103,0.011453169233658734,0.014878998949842633,66,49
104,0.011046584476442897,0.016667412699393508,69,52
105,0.011450515073888442,0.016598002528244594,68,40
106,0.011900265928076095,0.014166718946312959,63,54
107,0.010920702659783243,0.01478484554110833,68,55
108,0.010887681623967756,0.015256510590607265,69,56
109,0.011282910256325697,0.01743559848587468,69,46
110,0.012136655695298138,0.014186025790448458,64,53
111,0.011151823363885158,0.014583468437194824,67,55
112,0.010920877153633022,0.014929216425373868,67,55
113,0.010743213363555298,0.016106956972266145,70,52
114,0.011415893352833115,0.014771124664342628,66,52
115,0.011053668037683023,0.01527817687898312,69,53
116,0.011869828490649952,0.013237478598108832,64,57
117,0.012120848192888148,0.015020453704977935,63,55
118,0.011996688837764644,0.014253254206675404,66,51
119,0.01138437764734781,0.015108478519151796,68,53
120,0.011716886227872191,0.014092299173463066,66,51
121,0.010984441249811348,0.014663412323537862,71,51
122,0.01092813815138921,0.016641720848263434,69,44
123,0.012122670892907791,0.014968822587211177,63,53
124,0.01332410506340636,0.012836228564100445,58,57
125,0.012487206889801667,0.012877467668281411,62,55
126,0.01152022577383939,0.016698249668445228,67,45
127,0.014132038635366103,0.013945590212660015,54,57
128,0.013631747049443862,0.013075769509909288,52,53
129,0.012433021133687315,0.013328065287392095,62,58
130,0.012571905590906865,0.013308848412531727,63,57
131,0.01155130414902663,0.014864005570141774,67,55
132,0.012218052850050084,0.013426080627261468,63,58
133,0.012461484981184247,0.013282479542606283,63,56
134,0.012378815467618093,0.013122582772992691,62,60
135,0.01189697690370704,0.02322311896198201,65,50
136,0.01374952745537798,0.013147066224296138,54,48
137,0.012691262639871165,0.01310311960724165,59,55
138,0.01251545297999342,0.013545273609881132,65,57
139,0.012764510862967548,0.01307472530400978,57,56
140,0.01222434439578978,0.01366612765024293,64,57
141,0.011802524578671496,0.014769817860621327,66,52
142,0.01193936845334638,0.013780909889149215,68,55
143,0.011467549229870323,0.014167430265894477,70,56
144,0.011351817170111071,0.014154323991739525,70,56
145,0.011133147012285826,0.014219485363870297,69,56
146,0.011059469222521582,0.015024784038651665,70,53
147,0.01114925303879906,0.018873407031005283,70,51
148,0.012487902486023782,0.013340754891341587,65,50
149,0.011019108175229626,0.01469877081097297,69,53
150,0.010939372312121031,0.013601318282901117,71,58
151,0.010532792062819506,0.01531882274825618,72,50
152,0.01161449690576361,0.01417544202984504,67,50
153,0.011178503016463849,0.014290926591405328,67,53
154,0.012102806017178447,0.013606305392283314,66,58
155,0.012773966088014491,0.013398631001418491,57,53
