Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
55,270,3,100,256,170,0.009628679,0.00281618,58.6,0.005735071,59.6,27,43,19,26,0.602770875,0.491487545,0.522496131,0.607861377,0.688624992,0.636677027,0.590056268,0.182338133,0.590056268,0.194101581
138,1111,2,120,256,100,0.005535477,0.003119012,57.2,0.005757316,60.4,21,49,13,32,0.502424436,0.389567164,0.435232299,0.607603803,0.791441266,0.681492338,0.590504215,0.181368224,0.590504215,0.187739231
76,1672,2,190,128,175,0.003671307,0.005810882,57.6,0.006633884,59.8,21,48,13,32,0.598941106,0.393688971,0.459581052,0.605347656,0.787253137,0.680029755,0.590471054,0.181089875,0.590471054,0.191740757
38,7720,1,120,48,75,0.000115744,0.014656263,58,0.01733141,59.8,24,46,16,29,0.581477814,0.432493844,0.480171117,0.610235549,0.748139708,0.668033015,0.590316776,0.180719769,0.590316776,0.185612669
69,4353,2,35,256,140,0.002005222,0.002969558,57.2,0.0057667,60.6,20,51,11,33,0.514642221,0.3606939,0.421492227,0.602450332,0.818302092,0.689766145,0.589497996,0.180578315,0.589497996,0.190049607
46,8714,3,90,256,105,0.001740749,0.002897569,59,0.005771712,60.2,21,49,13,32,0.50420982,0.388169368,0.433870019,0.606985513,0.791897589,0.680871594,0.590033479,0.180380965,0.590033479,0.187766683
33,5837,2,200,64,40,0.002532205,0.013191407,54,0.012530002,60.2,23,47,14,30,0.489112924,0.414209358,0.447580472,0.610384529,0.764229701,0.6730195,0.589219529,0.179158256,0.589219529,0.181377189
17,1777,2,140,256,175,0.002560259,0.002928119,58,0.005711496,60.2,21,49,13,32,0.504908775,0.378511223,0.428863254,0.60479494,0.799244715,0.682868235,0.588877969,0.178125563,0.588877969,0.185895415
72,9340,2,185,256,55,0.000726801,0.00291475,55.4,0.005796753,59.8,23,47,15,30,0.624296353,0.417643773,0.457632296,0.608018651,0.759122459,0.668013038,0.588383116,0.177440688,0.588383116,0.193335647
68,3002,2,115,256,140,0.002153139,0.002915907,58.6,0.005760819,60,22,48,14,31,0.633470688,0.39391496,0.446840744,0.603844947,0.782295563,0.675705643,0.588105261,0.177312224,0.588105261,0.195421855
